point_id,measurementpart_id,t,x,y,z,q,statusbyte
1,1,4.99999987368938e-05,4.99999987368938e-05,-1.30328078284947e-06,-0.344580173492432,-6.51640374962914e-11,278528
2,1,9.99999974737875e-05,9.99999974737875e-05,-6.80818345699663e-07,-0.345823913812637,-9.92049539213286e-11,278528
3,1,0.000149999996210681,0.000149999996210681,-3.0734082656636e-07,-0.345823913812637,-1.14571994861443e-10,278528
4,1,0.000199999994947575,0.000199999994947575,-5.56325801426283e-07,-0.344269275665283,-1.42388284230058e-10,278528
5,1,0.000249999993684469,0.000249999993684469,-6.80818345699663e-07,-0.345512986183167,-1.76429200655095e-10,278528
6,1,0.000299999992421363,0.000299999992421363,-5.56325801426283e-07,-0.345512986183167,-2.04245490023711e-10,278528
7,1,0.000349999991158256,0.000349999991158256,8.13091560303292e-07,-0.344580173492432,-1.63590913035567e-10,278528
8,1,0.00039999998989515,0.00039999998989515,-1.82848339136399e-07,-0.344580173492432,-1.7273332976143e-10,278528
9,1,0.000449999988632044,0.000449999988632044,-5.83558552591512e-08,-0.345202058553696,-1.75651122450678e-10,278528
10,1,0.000499999987368938,0.000499999987368938,6.88599129716749e-07,-0.344891130924225,-1.41221166834615e-10,278528
11,1,0.000549999986105831,0.000549999986105831,4.39614098013408e-07,-0.345202058553696,-1.19240462489224e-10,278528
12,1,0.000599999984842725,0.000599999984842725,1.68453902915644e-06,-0.344269275665283,-3.50135131591534e-11,278528
13,1,0.000649999983579619,0.000649999983579619,9.37584104576672e-07,-0.345512986183167,1.18656908854119e-11,278528
14,1,0.000699999982316513,0.000699999982316513,6.88599129716749e-07,-0.344269275665283,4.62956465014755e-11,278528
15,1,0.000749999981053406,0.000749999981053406,1.18656907943659e-06,-0.345202058553696,1.05624098974542e-10,278528
16,1,0.0007999999797903,0.0007999999797903,2.05801666197658e-06,-0.345512986183167,2.08524929473878e-10,278528
17,1,0.000849999978527194,0.000849999978527194,1.43555405429652e-06,-0.344891130924225,2.80302630375446e-10,278528
18,1,0.000899999977264088,0.000899999977264088,1.80903157342982e-06,-0.344891130924225,3.70754206761938e-10,278528
19,1,0.000949999976000981,0.000949999976000981,1.68453902915644e-06,-0.343647420406342,4.54981156092008e-10,278528
20,1,0.000999999974737875,0.000999999974737875,1.68453902915644e-06,-0.345202058553696,5.39208105422079e-10,278528
21,1,0.00104999997347477,0.00104999997347477,3.0539563340426e-06,-0.344891130924225,6.91905918266737e-10,278528
22,1,0.00109999997221166,0.00109999997221166,1.9335241177032e-06,-0.344580173492432,7.88582121709651e-10,278528
23,1,0.00114999997094856,0.00114999997094856,2.92946401714289e-06,-0.34395831823349,9.35055318866571e-10,278528
24,1,0.00119999996968545,0.00119999996968545,3.80091159968288e-06,-0.344580173492432,1.12510089404976e-09,278528
25,1,0.00124999996842234,0.00124999996842234,3.0539563340426e-06,-0.34395831823349,1.27779870689442e-09,278528
26,1,0.00129999996715924,0.00129999996715924,3.30294142258936e-06,-0.344269275665283,1.44294577385192e-09,278528
27,1,0.00134999996589613,0.00134999996589613,3.55192651113612e-06,-0.342714637517929,1.62054209492227e-09,278528
28,1,0.00139999996463303,0.00139999996463303,3.67641882803582e-06,-0.344269275665283,1.80436303168035e-09,278528
29,1,0.00144999996336992,0.00144999996336992,4.54786595582846e-06,-0.344269275665283,2.03175632372733e-09,278528
30,1,0.00149999996210681,0.00149999996210681,3.67641882803582e-06,-0.344891130924225,2.21557726048542e-09,278528
31,1,0.00154999996084371,0.00154999996084371,5.5438063100155e-06,-0.344891130924225,2.49276756898378e-09,278528
32,1,0.0015999999595806,0.0015999999595806,6.41525411992916e-06,-0.34395831823349,2.81353026687709e-09,278528
33,1,0.00164999995831749,0.00164999995831749,5.66829885428888e-06,-0.34395831823349,3.09694520243187e-09,278528
34,1,0.00169999995705439,0.00169999995705439,6.41525411992916e-06,-0.343336492776871,3.41770790032518e-09,278528
35,1,0.00174999995579128,0.00174999995579128,6.29076157565578e-06,-0.343025535345078,3.73224597116207e-09,278528
36,1,0.00179999995452818,0.00179999995452818,6.91322384227533e-06,-0.344269275665283,4.0779071545437e-09,278528
37,1,0.00184999995326507,0.00184999995326507,7.90916419646237e-06,-0.343336492776871,4.4733653543767e-09,278528
38,1,0.00189999995200196,0.00189999995200196,6.53974575470784e-06,-0.342403680086136,4.8003526338517e-09,278528
39,1,0.00194999995073886,0.00194999995073886,7.03771593180136e-06,-0.343336492776871,5.15223842155238e-09,278528
40,1,0.00199999994947575,0.00199999994947575,7.53568610889488e-06,-0.342714637517929,5.52902271747875e-09,278528
41,1,0.00204999994821264,0.00204999994821264,7.03771593180136e-06,-0.34395831823349,5.88090850517944e-09,278528
42,1,0.00209999994694954,0.00209999994694954,7.66017910791561e-06,-0.343025535345078,6.2639174508996e-09,278528
43,1,0.00214999994568643,0.00214999994568643,7.66017910791561e-06,-0.343336492776871,6.64692639661976e-09,278528
44,1,0.00219999994442333,0.00219999994442333,9.40307290875353e-06,-0.342092782258987,7.11708003018036e-09,278528
45,1,0.00224999994316022,0.00224999994316022,9.52756636252161e-06,-0.342714637517929,7.59345833627211e-09,278528
46,1,0.00229999994189711,0.00229999994189711,9.02959618542809e-06,-0.342403680086136,8.04493813413817e-09,278528
47,1,0.00234999994063401,0.00234999994063401,9.27858127397485e-06,-0.342403680086136,8.50886718611708e-09,278528
48,1,0.0023999999393709,0.0023999999393709,1.07724908957607e-05,-0.343336492776871,9.04749171729832e-09,278528
49,1,0.00244999993810779,0.00244999993810779,1.13949536171276e-05,-0.342714637517929,9.61723938376166e-09,278528
