point_id,measurementpart_id,t,x,y,z,q,statusbyte
1,1,4.99999987368938e-05,4.99999987368938e-05,5.64106585443369e-07,-0.63530021905899,2.82053285596419e-11,278528
2,1,9.99999974737875e-05,9.99999974737875e-05,8.13091560303292e-07,-0.63530021905899,6.88599055477855e-11,278528
3,1,0.000149999996210681,0.000149999996210681,8.13091560303292e-07,-0.634678363800049,1.09514482535929e-10,278528
4,1,0.000199999994947575,0.000199999994947575,-3.0734082656636e-07,-0.634367406368256,9.41474415958151e-11,278528
5,1,0.000249999993684469,0.000249999993684469,3.15121610583446e-07,-0.634678363800049,1.09903521726955e-10,278528
6,1,0.000299999992421363,0.000299999992421363,-5.83558552591512e-08,-0.635611116886139,1.06985729037707e-10,278528
7,1,0.000349999991158256,0.000349999991158256,-8.05310833129624e-07,-0.634678363800049,6.67201883984194e-11,278528
8,1,0.00039999998989515,0.00039999998989515,6.61366428289512e-08,-0.635611116886139,7.00270204563293e-11,278528
9,1,0.000449999988632044,0.000449999988632044,-1.82848339136399e-07,-0.634989261627197,6.08846037304663e-11,278528
10,1,0.000499999987368938,0.000499999987368938,4.39614098013408e-07,-0.634678363800049,8.28653080758574e-11,278528
11,1,0.000549999986105831,0.000549999986105831,1.9062913736434e-07,-0.634678363800049,9.23967647032895e-11,278528
12,1,0.000599999984842725,0.000599999984842725,3.15121610583446e-07,-0.634367406368256,1.0815284483443e-10,278528
13,1,0.000649999983579619,0.000649999983579619,-1.82848339136399e-07,-0.634056448936462,9.90104281085667e-11,278528
14,1,0.000699999982316513,0.000699999982316513,9.37584104576672e-07,-0.63530021905899,1.45889632153132e-10,278528
15,1,0.000749999981053406,0.000749999981053406,4.39614098013408e-07,-0.634678363800049,1.67870336498523e-10,278528
16,1,0.0007999999797903,0.0007999999797903,1.06207653516321e-06,-0.634367406368256,2.20974161915168e-10,278528
17,1,0.000849999978527194,0.000849999978527194,6.88599129716749e-07,-0.634678363800049,2.55404117531232e-10,278528
18,1,0.000899999977264088,0.000899999977264088,1.9062913736434e-07,-0.63530021905899,2.64935574158664e-10,278528
19,1,0.000949999976000981,0.000949999976000981,5.64106585443369e-07,-0.63530021905899,2.93140902718306e-10,278528
20,1,0.000999999974737875,0.000999999974737875,1.31106162370997e-06,-0.634678363800049,3.58693982247795e-10,278528
21,1,0.00104999997347477,0.00104999997347477,9.37584104576672e-07,-0.634056448936462,4.0557318629236e-10,278528
22,1,0.00109999997221166,0.00109999997221166,1.18656907943659e-06,-0.634678363800049,4.64901638765427e-10,278528
23,1,0.00114999997094856,0.00114999997094856,4.39614098013408e-07,-0.634989261627197,4.86882343110818e-10,278528
24,1,0.00119999996968545,0.00119999996968545,1.43555405429652e-06,-0.634367406368256,5.58660044012386e-10,278528
25,1,0.00124999996842234,0.00124999996842234,1.80903157342982e-06,-0.634367406368256,6.49111620398878e-10,278528
26,1,0.00129999996715924,0.00129999996715924,1.18656907943659e-06,-0.634367406368256,7.08440072871945e-10,278528
27,1,0.00134999996589613,0.00134999996589613,2.30700152314967e-06,-0.634056448936462,8.2379014611544e-10,278528
28,1,0.00139999996463303,0.00139999996463303,1.43555405429652e-06,-0.634678363800049,8.95567847017009e-10,278528
29,1,0.00144999996336992,0.00144999996336992,1.9335241177032e-06,-0.634678363800049,9.92244050459923e-10,278528
30,1,0.00149999996210681,0.00149999996210681,2.30700152314967e-06,-0.633745551109314,1.10759412370342e-09,278528
31,1,0.00154999996084371,0.00154999996084371,1.56004648488306e-06,-0.634056448936462,1.18559644597707e-09,278528
32,1,0.0015999999595806,0.0015999999595806,2.80497170024319e-06,-0.634989261627197,1.32584502744625e-09,278528
33,1,0.00164999995831749,0.00164999995831749,2.30700152314967e-06,-0.634678363800049,1.44119510068974e-09,278528
34,1,0.00169999995705439,0.00169999995705439,2.80497170024319e-06,-0.634367406368256,1.58144368215893e-09,278528
35,1,0.00174999995579128,0.00174999995579128,2.80497170024319e-06,-0.633745551109314,1.72169226362811e-09,278528
36,1,0.00179999995452818,0.00179999995452818,2.80497170024319e-06,-0.634367406368256,1.86194084509729e-09,278528
