Complexity,Loss,Equation
1,1.6286155e-8,"-1.504086e-7"
3,1.5731324e-8,"x0 * 0.00010794401"
4,1.5728965e-8,"tanh(x0) * 0.000111109264"
5,1.5702724e-8,"(x0 * 0.00011366587) + 5.497416e-6"
6,1.5676626e-8,"exp(x0) * (x0 * 0.00012264839)"
7,1.567468e-8,"((3.448581 ^ x0) * 0.00012282007) * x0"
8,1.5674571e-8,"(asin(x0) * 0.00012148838) * (3.448581 ^ x0)"
9,1.56741e-8,"(x0 + -0.0070602354) * (0.00012266789 * (3.448581 ^ x0))"
11,1.5672764e-8,"(x0 * (3.306712e-5 * cosh(cosh(x0 - -1.2670056)))) + -2.0036775e-6"
12,1.5672729e-8,"((x0 * 3.306712e-5) * cosh(cosh(tanh(x0) - -1.2670056))) + -2.0036775e-6"
14,1.5672725e-8,"sin((cosh(cosh(-1.2669238 - tanh(sinh(x0)))) * (x0 * 3.3026765e-5)) + -2.078712e-6)"
