Complexity,Loss,Equation
1,1.7146684e-8,"2.2404362e-5"
3,1.6913985e-8,"x0 * 0.00013155937"
4,1.690608e-8,"tanh(x0) * 0.00013560189"
5,1.615577e-8,"(x0 * 0.00015514677) + 2.796144e-5"
6,1.6154988e-8,"(atan(x0) * 0.00015895595) + 2.7807024e-5"
7,1.6154315e-8,"(atan(atan(x0)) * 0.00016254898) + 2.766789e-5"
8,1.6094237e-8,"((acos(x0) * x0) * 9.490666e-5) + 3.1842505e-5"
9,1.6018092e-8,"(x0 * (0.00011680699 + (x0 * -0.0003690874))) + 4.2255313e-5"
10,1.601055e-8,"(((x0 * -0.00038521324) + 0.0001218133) * tanh(x0)) + 4.2498108e-5"
11,1.6004652e-8,"4.2498108e-5 + (((x0 * -0.00038521324) + 0.0001218133) * tanh(tanh(x0)))"
12,1.5997223e-8,"(((x0 * -0.00042627202) + 0.0001255357) * atan(tanh(tanh(x0)))) + 4.3150878e-5"
13,1.5907847e-8,"(x0 * ((x0 + 0.64965886) * ((0.2507393 - x0) * 0.001249417))) + 4.37012e-5"
14,1.587191e-8,"((x0 + exp(x0)) * ((x0 * 0.0010914213) * (0.22311842 - x0))) + 4.637131e-5"
17,1.5869697e-8,"((x0 + cos(cos(x0 + 0.5473934))) * (((0.19747704 - x0) * 0.0019997975) * x0)) + 5.055985e-5"
18,1.5862577e-8,"((((x0 + cos(cos(x0 + 0.36975044))) * (0.21669614 - x0)) * tanh(x0)) * 0.002077778) + 4.719177e-5"
19,1.5861907e-8,"4.719177e-5 + ((0.21669614 - x0) * (((cos(cos(x0 + 0.36975044)) + x0) * 0.002077778) * tanh(sin(x0))))"
20,1.5835624e-8,"((((cos(cos((exp(x0) + -0.7141623) / x0)) + x0) * x0) * 0.0018518006) * (0.21824536 - x0)) + 4.85792e-5"
