Complexity,Loss,Equation
1,1.380245e-8,"5.0722123e-5"
4,1.2301225e-8,"0.00011883181 ^ exp(x0)"
5,1.2199568e-8,"(0.0006989136 ^ x0) * 0.00011449318"
6,1.1934706e-8,"abs((x0 - 0.16896646) * 0.0007037131)"
7,1.1924317e-8,"abs(0.00011552879 + (-0.0006991984 * tanh(x0)))"
8,1.1908755e-8,"abs((atan(tanh(x0)) * -0.00073061074) + 0.00011676415)"
9,1.1894828e-8,"abs(0.00011676415 + (tanh(tanh(atan(x0))) * -0.00073061074))"
10,1.1641539e-8,"((abs(x0) * -0.007329785) + 0.0011201259) * (0.17705463 - x0)"
11,1.1540709e-8,"((-0.003378141 * abs(x0)) + 0.0011676706) * abs(x0 - 0.12861753)"
13,1.1515133e-8,"((abs(0.01742843 - x0) * -0.003843762) + 0.0011896038) * abs(0.13040456 - x0)"
14,1.15128564e-8,"((abs(0.01742843 - x0) * -0.003843762) + 0.0011896038) * abs(0.13040456 - sinh(x0))"
15,1.1496279e-8,"abs(((abs(x0 - 0.01742843) * -0.003843762) + 0.0011896038) * ((x0 / 0.94582635) - 0.1315277))"
16,1.1494996e-8,"abs(((atan(x0) / 0.94582635) - 0.13114753) * ((abs(0.01742843 - x0) * -0.003843762) + 0.0011896038))"
18,1.1494991e-8,"asinh(((abs(0.01742843 - x0) * -0.003843762) + 0.0011896038) * sinh(abs((atan(x0) / 0.94582635) - 0.13077447)))"
19,1.1484234e-8,"atanh(((abs(x0) * -0.0053324355) + ((x0 * 0.0016265853) + 0.0012302604)) * abs(asinh((x0 / 0.9458391) - 0.13415837)))"
27,1.1480699e-8,"abs(atanh(atanh(abs(atanh((x0 / 0.94582635) - 0.13409248)))) * ((abs(x0 - 0.01742843) * ((((x0 / 1.5827284) - 0.13077447) * 0.003843762) + -0.003843762)) + 0.0011896038))"
