Complexity,Loss,Equation
1,9.322894,"x0"
2,7.7965097,"tan(x0)"
3,0.2679421,"x0 * 5.26421"
5,0.2677327,"(x0 * 5.264749) - 0.01620025"
9,0.26767874,"((x0 * 1158.9432) + (-0.23824038 / x0)) / 219.96608"
10,0.26751682,"((x0 * 1158.9432) + (-0.23824038 / abs(x0))) / 219.96608"
11,0.26644298,"((0.34156838 / (x0 - 0.724219)) + (x0 * 1159.0825)) / 220.13232"
13,0.26631448,"(((0.22689609 / x0) / (x0 - 0.724219)) + (x0 * 1159.0825)) / 220.13232"
14,0.2661303,"((abs(0.22689609 / x0) / (x0 - 0.724219)) + (x0 * 1158.9432)) / 219.96608"
15,0.2661263,"((abs(0.22689609 / atan(x0)) / (x0 - 0.724219)) + (x0 * 1158.9432)) / 219.96608"
16,0.2660744,"(((abs(0.22689609 / x0) / (x0 - 0.724219)) + (x0 * 1158.9432)) / 219.96608) - 0.0053093396"
18,0.26579008,"((abs(tan(-0.30167657 / atan(1.3829299 * x0))) / (x0 - 0.724219)) + (x0 * 1158.9432)) / 219.96608"
27,0.26537713,"(((0.22689609 / x0) / ((x0 - 0.724219) / sign((0.22689609 / (x0 / tan((x0 - 0.724219) / x0))) + x0))) + (x0 * 1159.0825)) / 219.96608"
28,0.26515663,"(((0.22689609 / x0) / inv((x0 - 0.724219) / ((x0 / neg(0.43868136 / tan((x0 - 0.724219) / x0))) + -0.46294177))) + (x0 * 1159.0825)) / 219.96608"
