Complexity,Loss,Equation
1,9.153431,"x0"
2,7.6346025,"tan(x0)"
3,0.27589908,"x0 / 0.19144852"
5,0.27581924,"(x0 / 0.19121312) + 0.010196803"
6,0.27499217,"(x0 / 0.16312523) - asinh(x0)"
8,0.27484098,"((x0 * 5.0546803) - atan(x0)) + x0"
9,0.27440205,"(sinh(x0) * 3.2705357) + asinh(x0 * 1.9599084)"
10,0.2743496,"(sinh(x0) * 3.7773209) + tanh(asinh(x0 * 1.5542582))"
11,0.27430123,"asinh(asinh(asinh(x0 * 1.6236689))) + (sinh(x0) * 3.715805)"
13,0.27426535,"asinh(asinh(asinh(x0 * 1.6236689))) + (sinh(x0 + 0.00031482452) * 3.7154903)"
16,0.27420366,"asinh(sinh(sin(sin(asinh(x0) + tan(x0))) + (sinh(x0 * 1.5430806) * 2.0981152)))"
18,0.2737079,"asinh(sinh(sin(sin(asinh(x0) + tan(x0 + 9.402381))) + (sinh(x0 * 1.5430806) * 2.0981152)))"
20,0.27353412,"asinh(sinh(sin(sin(tan(sin(x0 + tan(x0))))) + (sinh(x0 * cosh(x0 / x0)) * 2.107386)))"
22,0.27299654,"asinh(sinh(sin(sin(tan(sin(x0 + tan(x0 + -0.014060874))))) + (sinh(x0 * cosh(x0 / x0)) * 2.107386)))"
