Complexity,Loss,Equation
1,9.344431,"x0"
2,7.820191,"tan(x0)"
3,0.27643624,"x0 / 0.18985513"
5,0.276389,"(x0 / 0.18980223) - 0.004625697"
7,0.27532578,"(x0 + sin(tan(x0))) / 0.3879361"
8,0.27527332,"(x0 + sin(sinh(sinh(x0)))) / 0.38524926"
10,0.27525017,"(sinh(sin(x0)) + sinh(sin(sinh(x0)))) / 0.38484052"
11,0.2751696,"(sinh(tanh(sinh(sinh(x0)))) / 0.2417602) + sinh(sin(x0))"
13,0.27512142,"((sinh(sinh(sinh(tanh(sinh(sin(x0)))))) / 0.2417602) + x0) + -0.010159409"
17,0.2749359,"(x0 + ((0.47294354 / tan(asinh(x0) * 8.718015)) / 611.33234)) + ((x0 / 0.3056317) + x0)"
21,0.27448976,"((x0 + (tan(x0 / atan(0.47294354 / ((x0 * 1.6092266) + 7.1087885))) / 611.33234)) + (x0 / 0.3056317)) + x0"
22,0.27425578,"(x0 + (tan(asinh(x0) / tanh(0.47294354 / ((x0 * 1.6092266) + 7.1087885))) / 611.33234)) + ((x0 / 0.3056317) + x0)"
24,0.27422816,"(x0 + ((tan(asinh(x0) / tanh(0.47294354 / ((x0 * 1.6092266) + 7.1087885))) / 611.33234) + ((x0 / 0.3056317) + x0))) + -0.007188468"
27,0.27398834,"(x0 + (tan(asinh(x0) / tanh(0.47294354 / (x0 + (0.47294354 / (x0 * (cosh(x0) + 7.1087885)))))) / 611.33234)) + ((x0 / 0.3056317) + x0)"
