Complexity,Loss,Equation
1,9.334542,"x0"
2,7.8145714,"tan(x0)"
3,0.29996437,"x0 * 5.2570295"
5,0.2999498,"(x0 * 5.2570295) + -0.0021931478"
6,0.29951164,"sin(x0) + (x0 / 0.22869477)"
8,0.29949495,"(sin(x0) + (x0 / 0.22869477)) - 0.0025248134"
9,0.29946503,"(-42.29956 - cos(asin(x0))) * (x0 / -8.13002)"
10,0.29850867,"(x0 / -10.751679) * (-56.64745 - cos(x0 * 206.2835))"
12,0.29725033,"(-56.64745 - cos(x0 * (x0 + -205.90666))) * (x0 / -10.751679)"
13,0.29723334,"(-56.64745 - cos(x0 * (sign(x0) + -205.90666))) * (x0 / -10.751679)"
15,0.29721802,"(-56.64745 - cos(x0 * (sign(x0 + 0.17730702) + -205.90666))) * (x0 / -10.751679)"
16,0.29699478,"(x0 / -10.751679) * (-56.64745 - cos(x0 * (x0 + ((x0 * x0) + -206.89706))))"
17,0.29685423,"(x0 / -10.751679) * (-56.64745 - cos(x0 * (x0 + (asin(x0 * x0) + -206.89706))))"
19,0.2968291,"(x0 / -10.751679) * (-56.64745 - cos(x0 * (((x0 - 0.06510261) + asin(x0 * x0)) + -206.89706)))"
21,0.29682678,"(x0 / -10.751679) * (-56.64745 - cos(x0 * ((((x0 + -0.00911855) - 0.06510261) + asin(x0 * x0)) + -206.89706)))"
25,0.2968267,"(x0 / -10.751679) * (-56.64745 - cos(x0 * (((((x0 + 0.13020521) - 0.13057595) + -0.00911855) - 0.06510261) + (asin(x0 * x0) + -206.89706))))"
27,0.29682472,"(x0 / -10.751679) * (-56.64745 - cos(x0 * (((((((x0 + -0.00911855) - 0.06510261) + 0.06510261) + -0.00911855) - 0.06510261) + asin(x0 * x0)) + -206.89706)))"
