Complexity,Loss,Equation
1,1377.7529,"0.23566426"
2,1313.9131,"acos(x0)"
3,6.894169,"x0 * -52.46866"
5,6.892775,"(x0 * -52.46866) + -0.048505504"
7,6.892345,"atan(asin(x0)) - (x0 * 53.41557)"
8,6.881558,"atan(tan(asin(x0))) - (x0 * 53.778873)"
9,6.879343,"atan(asinh(tan(asin(x0)))) - (x0 * 53.669083)"
11,6.8754582,"(x0 * ((x0 - (x0 / 0.7399232)) + -52.46866)) - -0.1818251"
12,6.873467,"atan((0.35942677 * x0) + tan(asin(x0))) - (x0 * 53.778873)"
16,6.868024,"atan(neg((abs(x0) * x0) * x0) + tan(asin(x0))) - (x0 * 53.778873)"
17,6.8654876,"atan(((asin(x0) * x0) * neg(abs(x0))) + tan(asin(x0))) - (x0 * 53.778873)"
19,6.864111,"atan(neg(abs(x0) * (x0 * (abs(x0) * x0))) + tan(asin(x0))) - (x0 * 53.778873)"
22,6.861503,"atan((abs(x0) * neg(x0 * (abs(tan(asin(atan(x0)))) * x0))) + tan(asin(x0))) - (x0 * 53.778873)"
