Complexity,Loss,Equation
1,2840.656,"x0"
2,2812.3347,"tan(x0)"
3,15.217242,"x0 * 76.32665"
6,15.200666,"x0 * (77.87183 - cosh(x0))"
8,15.164751,"x0 * (76.32665 - sin(x0 * 9.1046915e32))"
9,15.150838,"x0 * (76.32665 - sin(sin(x0 * 9.1046915e32)))"
10,15.111884,"x0 * (76.34246 - sin((x0 + x0) * 1.0694656e33))"
11,15.106537,"x0 * (76.50173 - sin(sin((x0 + x0) * 1.0694656e33)))"
13,15.060616,"(x0 * 75.81954) - sin(x0 / tan((x0 + x0) + -2.7089772))"
14,15.059707,"(x0 * 75.81954) - sin(asinh(x0) / tan((x0 + x0) + -2.7089772))"
15,15.058418,"(x0 * 75.81954) - sin(atan(x0) / asinh(tan((x0 + x0) + -2.7089772)))"
17,15.05825,"((x0 * 75.81954) - sin(atan(x0) / asinh(tan(x0 + (x0 + -2.7089772))))) - -0.0022288756"
