Complexity,Loss,Equation
1,1970.7639,"x0"
2,1947.1315,"tan(x0)"
3,9.707001,"63.756 * x0"
5,9.691091,"(x0 * 63.7668) + 0.12050691"
8,9.686582,"(tan(x0) - (x0 * -62.375793)) - -0.12091135"
11,9.684242,"((cos(cos(x0 * -5.1028023)) + 62.917168) * x0) + 0.14392388"
12,9.683303,"x0 * (cos(inv(cos(x0 * -5.1028023) * 32.258427)) + 62.917168)"
13,9.681056,"(x0 * (cos(inv((x0 + -0.4743198) * -5.0045056)) + 62.917168)) + 0.14392388"
14,9.658522,"((cos(inv(cos(x0 * -5.1028023) * -37.89571)) + 62.917168) * x0) + 0.14392388"
22,9.656213,"(x0 * (cos(inv(cos(x0 * -5.1028023) * -37.89571)) + 62.917168)) + (atan(exp(x0) + 0.96099406) - (1.3883541 ^ x0))"
23,9.65359,"((x0 * (cos(inv(cos(x0 * -5.1028023) * -37.89571)) + 62.917168)) + atan(sinh(exp(x0)) + 0.97993094)) - (1.3883541 ^ x0)"
28,9.653475,"((x0 * (cos(inv(cos(x0 * -5.1028023) * -37.89571)) + 62.917168)) + atan(cos(x0 * (x0 * 0.20068148)) + sinh(exp(x0)))) - (1.3883541 ^ x0)"
30,9.63952,"(x0 * (cos(inv(cos(x0 * -5.1028023) * -37.89571)) + 62.917168)) + (atan(exp(sinh(x0)) + cos(inv((x0 * cos(-5.1028023)) * -37.89571))) - (1.3883541 ^ x0))"
