Complexity,Loss,Equation
1,4631.1997,"x0"
2,4594.87,"tan(x0)"
3,0.2270092,"x0 * 97.43619"
5,0.2270091,"asin(sin(x0)) * 97.43619"
6,0.225896,"tanh(x0) + (x0 * 96.62944)"
7,0.22585708,"sin(asinh(x0)) + (x0 * 96.61633)"
8,0.22582383,"(atan(x0) - x0) + (x0 * 97.606125)"
9,0.22581026,"atan(atan(x0) - x0) + (x0 * 97.606125)"
10,0.22575366,"(x0 * 97.59817) + (atan(atan(x0)) - sin(x0))"
11,0.22556855,"(x0 * 97.646935) + (atan(atan(sin(x0))) - sin(x0))"
12,0.22544119,"(x0 * 97.67909) + (atan(atan(sin(sin(x0)))) - sin(x0))"
14,0.22541568,"(x0 * 97.646935) + (atan(atan(sin(sin(x0 * 1.1503743)))) - sin(x0))"
15,0.22517663,"((x0 - (x0 / -0.010566043)) + sinh(x0)) + tanh(tanh(sin(x0 + -0.03208937)))"
16,0.22513029,"((x0 - (x0 / -0.010566043)) + sinh(x0)) + tanh(tanh(tanh(sinh(x0) + -0.03208937)))"
19,0.22492112,"sinh(x0) + ((atan(tanh(tanh((cos(exp(x0)) * -0.13052309) + x0))) + x0) - (x0 / -0.010566043))"
20,0.2249196,"sinh(x0) + ((tanh(asinh(tanh(atan(x0) + (cos(exp(x0)) * -0.13052309)))) + x0) - (x0 / -0.010566043))"
22,0.22489628,"((asinh(tanh(tanh(atan(x0 + (cos(exp(x0 - -0.088255025)) * -0.13052309))))) + x0) - (x0 / -0.010566043)) + sinh(x0)"
24,0.22472842,"((sinh(x0) + x0) - (x0 / -0.010566043)) + tanh(sin(tanh(x0 + (exp(cos(exp(x0 + 2.1615725)) + 1.0551506) * -0.011802995))))"
28,0.22446226,"((sinh(x0) + x0) - (x0 / -0.010566043)) + tanh(tanh(sin(x0 + (exp(cos(exp(x0 + 2.1615725) * exp(cos(x0))) + 1.0551506) * -0.011802995))))"
