Complexity,Loss,Equation
1,8.251015,"x0"
2,6.797506,"tan(x0)"
3,0.0006398651,"x0 * 5.0704384"
5,0.000638981,"(x0 * 5.070471) + 0.00095778937"
8,0.00063864054,"abs(-8.687923e-5 / x0) + (x0 * 5.0705767)"
9,0.0006363521,"x0 * ((0.0009334373 / (x0 + -0.06621148)) + 5.07035)"
10,0.00063622947,"x0 * ((0.00089439214 / (tan(x0) + -0.06722266)) + 5.07035)"
11,0.0006361573,"x0 * ((0.00089439214 / tan(tan(x0) + -0.06712168)) + 5.07035)"
15,0.0006361279,"x0 * (((0.00089439214 / (x0 + 0.03950441)) + (0.00089439214 / (x0 + -0.066259906))) + 5.07035)"
16,0.0006325657,"((0.0010823268 / ((x0 + (x0 - asinh(x0))) + log(abs(x0)))) + 5.07035) * x0"
17,0.0006293469,"(0.00045190757 / ((x0 - ((acos(x0) - x0) - tan(x0))) - 0.75698644)) + (x0 * 5.07057)"
