Complexity,Loss,Equation
1,1821.3994,"0.30202708"
2,1747.1937,"acos(x0)"
3,0.09585897,"x0 * -60.479477"
7,0.09579043,"(-60.4785 - (x0 * 0.015888374)) * x0"
8,0.09575789,"((sign(x0) * -0.00039763603) + x0) * -60.50908"
10,0.09547574,"(-58.95713 - atan((-1.034294 / x0) + 16.589495)) * x0"
11,0.09535531,"x0 * (-58.95713 - atan(inv(x0 * -0.66919875) + 20.486675))"
12,0.09534747,"x0 * (-58.95713 - atan(inv(sinh(x0) * -0.66919875) + 20.486675))"
13,0.095323175,"((-58.95713 - atan(inv(x0 * -0.66919875) + 20.486675)) * x0) + -0.0040338985"
15,0.0952291,"x0 * (-58.95713 - atan((inv(x0) * -1.219387) + ((16.589495 ^ x0) + 15.682531)))"
17,0.09522612,"x0 * (-58.95713 - atan((x0 + (inv(x0) * -1.219387)) + ((16.589495 ^ x0) + 15.682531)))"
24,0.0952223,"(-58.95713 - atan((((x0 + (-1.219387 * inv(x0))) ^ sign(x0)) + x0) + ((16.589495 ^ x0) + (x0 + 16.589495)))) * x0"
25,0.095220774,"(-58.95713 - atan(((((x0 + (-1.219387 * inv(x0))) ^ sign(x0)) + x0) + (16.589495 ^ asinh(x0))) + (x0 + 16.589495))) * x0"
