Complexity,Loss,Equation
1,4123.5747,"0.4290431"
2,4010.4116,"acos(x0)"
3,0.8275091,"x0 * -90.99313"
5,0.8261975,"(x0 * -91.00132) + -0.039449133"
7,0.8256377,"x0 * (-90.96179 - (x0 / 15.4223385))"
8,0.8247478,"(x0 * -90.98138) - inv(x0 * 396.1111)"
9,0.82473326,"(x0 * -90.98138) - atan(inv(x0 * 396.1111))"
10,0.82358015,"(-90.98842 - inv((x0 - -0.29578558) * 142.03447)) * x0"
11,0.82301986,"(-90.98138 - ((1.7952906 / (x0 - -0.29578558)) * 0.0070405444)) * x0"
14,0.82184297,"(-90.98138 - inv(-92.419044 / (-1.0924602 / ((x0 + 0.8034345) / -0.2296865)))) * x0"
15,0.82174546,"(-90.98138 - inv(-92.419044 / (sign(-1.2580516) / ((x0 + 0.8034345) / -0.2296865)))) * x0"
17,0.81946665,"(x0 * -90.98138) - inv(402.3704 / (inv(((x0 / x0) + x0) + x0) / x0))"
18,0.8193223,"(x0 * -90.98138) - inv(402.3704 / (inv(((x0 / x0) + x0) + x0) / sin(x0)))"
20,0.8187258,"(x0 * -90.98138) - inv(402.3704 / ((inv(((x0 / x0) + x0) + x0) / sin(x0)) / 0.73510134))"
23,0.8173392,"(x0 * ((x0 + -90.98138) - (x0 / 0.9157229))) - inv(402.3704 / (inv((x0 + (x0 / x0)) + x0) / x0))"
24,0.8171428,"((x0 + (-90.98138 - (x0 / 0.9157229))) * x0) - inv(402.3704 / (inv(x0 + ((x0 / x0) + x0)) / atan(x0)))"
26,0.8171093,"((x0 + (-90.98138 - (x0 / 0.9157229))) * x0) - inv(402.3704 / (x0 + (inv(x0 + ((x0 / x0) + x0)) / atan(x0))))"
28,0.81405336,"(x0 * ((x0 + -90.98138) - x0)) - (inv(402.3704 / (inv(402.3704 / inv(((x0 + -0.4535048) - tanh(exp(x0))) + x0)) / x0)) + 0.01367448)"
30,0.81223917,"((x0 * ((x0 + -90.98138) - (x0 / 0.9157229))) - inv(402.3704 / (inv(402.3704 / inv((x0 + (-0.4535048 - tanh(exp(x0)))) + x0)) / x0))) + 0.01367448"
