Complexity,Loss,Equation
1,2280.052,"x0"
2,2254.5898,"tan(x0)"
3,0.43999866,"x0 * 68.660835"
5,0.43999827,"sinh(asinh(x0 * 68.660835))"
6,0.4395951,"(x0 * 67.75243) + asinh(x0)"
7,0.43866184,"asinh(sinh(x0 * 68.665245) + 0.50862145)"
8,0.4379223,"(x0 * 69.626236) - asinh(asinh(asin(x0)))"
9,0.4362674,"((cosh(x0) - -68.5338) * x0) - asin(x0)"
10,0.43580613,"(x0 * (cosh(asinh(x0)) - -68.61132)) - asin(x0)"
11,0.43580323,"((sinh(cosh(tanh(x0))) - -68.33229) * x0) - asin(x0)"
12,0.43578842,"((cosh(asinh(x0) / 0.9935648) - -68.61132) * x0) - asin(x0)"
17,0.43575194,"(((cosh(exp(x0) / -8.472966) * abs(x0 / 1.6815242)) - -69.4264) * x0) - asin(x0)"
20,0.43572628,"((abs((cosh((cosh(x0) ^ exp(x0)) / -8.472966) * x0) / 1.6815242) - -69.4264) * x0) - asin(x0)"
21,0.43570527,"(((cosh(exp(x0) / (-1.1752012 / (x0 * 0.14156829))) * abs(x0 / 1.6815242)) - -69.4264) * x0) - asin(x0)"
26,0.43496537,"((abs(x0 / (1.3918543 ^ sign(sign((((x0 / x0) * 1.6815242) - exp(x0)) / (x0 * -0.15239713))))) - -69.31844) * x0) - asin(x0)"
