Complexity,Loss,Equation
1,182.94777,"x0"
2,175.79308,"tan(x0)"
3,0.039342415,"x0 * 20.165695"
5,0.0392747,"(x0 * 20.164629) + -0.00926233"
11,0.039246574,"(exp(cos(sinh(exp(x0))) * 0.0142982695) + 19.161882) * x0"
14,0.03913115,"(exp(tan(x0 * inv(-0.1070054 - x0)) * -0.00887363) + 19.161882) * x0"
16,0.03907358,"(exp(tan(neg(x0 * inv(abs(-0.1070054 - x0)))) * 0.00887363) + 19.161882) * x0"
18,0.039054487,"(exp(sin(sin(sinh(asin(x0) * 3.656865) + 2.0984557e8)) * 0.056528322) + 19.161882) * neg(neg(x0))"
22,0.03903098,"(exp(sin((1.9802672 / x0) * -0.0142982695) * cos(exp(neg(sin(sinh(x0)) * 9.95532e-5) + 19.161882))) + 19.161882) * x0"
23,0.039002355,"(exp(cos(exp((sinh(neg(sin(x0))) * 9.95532e-5) + 19.161882)) * sin(neg((1.9802672 / x0) * 0.0142982695))) + 19.161882) * x0"
25,0.03897904,"(exp(neg(cos(exp((sinh(sin(neg(x0))) * 9.95532e-5) + 19.161882))) * neg(sin((1.9802672 / sinh(x0)) * -0.0142982695))) + 19.161882) * x0"
26,0.038902625,"neg((exp(cos(exp((sin(sinh(neg(x0))) * 9.95532e-5) + 19.161882)) * sin(((x0 - -1.9436351) / x0) * -0.0142982695)) + 19.161882) * neg(x0))"
28,0.03884127,"(exp(neg((((x0 + asin(x0)) - -1.9436351) / x0) * neg(sin(exp((neg(sinh(sin(x0))) * 9.95532e-5) + 19.161882)) * -0.0142982695))) + 19.161882) * x0"
