Complexity,Loss,Equation
1,3490.857,"-15.5315485"
3,227.85011,"x0 * 83.87849"
5,0.11642991,"(x0 * 83.73194) - 15.092007"
7,0.11642934,"((x0 + x0) * 41.863705) + -15.089468"
10,0.11625016,"(tan(x0) * -0.19738327) - ((x0 * -84.00172) - -15.087886)"
11,0.11623914,"sin(tan(x0) * -0.19898897) - ((x0 * -84.00172) - -15.087886)"
13,0.11623539,"sin(sin(tan(x0) * sinh(-0.19769862))) - ((x0 * -84.00172) - -15.087886)"
15,0.11622263,"sin(sin(sin(sin(tanh(tan(x0) * -0.20646507))))) - ((x0 * -84.00172) - -15.087886)"
23,0.11594134,"(((x0 / 2.3248963) * ((2.198608 / x0) * (x0 * (atan(tan((0.006929933 / x0) / x0)) + 87.453575)))) + x0) + -15.088081"
24,0.1159174,"((x0 / 2.3248963) * ((2.198608 / x0) * (x0 * (atan(tan((0.006929933 / x0) / atan(x0))) + 87.453575)))) + (x0 + -15.088081)"
25,0.11589248,"((((x0 / 2.3248963) * (2.198608 / x0)) * (x0 * (atan(tan((0.006929933 / atan(x0)) / tanh(x0))) + 87.453575))) + x0) + -15.088081"
26,0.11588399,"(((x0 / 2.3248963) * ((2.198608 / x0) * (x0 * (atan(tan((0.006929933 / asinh(atan(x0))) / tanh(x0))) + 87.453575)))) + x0) + -15.088081"
27,0.115869455,"(((x0 / 2.3248963) * ((2.198608 / x0) * x0)) * (atan(tan((0.006929933 / asinh(atan(x0))) / tanh(atan(x0)))) + 87.453575)) + (x0 + -15.088081)"
