Complexity,Loss,Equation
1,740.05194,"27.24715"
3,441.5218,"84.038 ^ x0"
4,94.77423,"sinh(x0 + 3.903133)"
5,0.11173169,"(x0 * 38.55604) + 27.433737"
8,0.1115168,"sin(x0) + ((x0 * 37.665665) + 27.438452)"
12,0.11150768,"(x0 / (27.053057 - inv(x0))) + ((x0 / 0.025964847) + 27.420208)"
13,0.11146325,"(x0 / 0.025964847) + ((x0 / (neg(inv(x0)) - -26.991432)) + 27.420208)"
14,0.111431256,"(sin(x0) / (inv(neg(x0)) - -26.991432)) + ((x0 / 0.025964847) + 27.420208)"
15,0.111373216,"((x0 / 0.025964847) + (x0 / ((27.446169 - inv(x0)) - inv(x0)))) + 27.420208"
16,0.11134445,"(x0 / 0.025964847) + ((sin(x0) / ((27.446169 - inv(x0)) - inv(x0))) + 27.420208)"
17,0.11134078,"((x0 / 0.025964847) + atanh(tanh(x0) / ((27.446169 - inv(x0)) - inv(x0)))) + 27.420208"
18,0.11117677,"((x0 / (((x0 * tan(tan(x0))) - -26.991432) - inv(x0))) + 27.420208) + (x0 / 0.025964847)"
19,0.11117635,"(atanh(x0 / (((x0 * tan(tan(x0))) - -26.991432) - inv(x0))) + 27.420208) + (x0 / 0.025964847)"
20,0.11105901,"(((x0 / 0.6162438) / (((x0 * tan(tan(x0))) - -26.991432) - inv(x0))) + 27.420208) + (x0 / 0.025964847)"
30,0.11085183,"((x0 / 0.025964847) + atanh(tanh(x0 * 2.7340438) / (((exp(x0 / 0.2973407) * tan(sin(tan(x0 + (x0 * 2.7340438))))) - -26.991432) - inv(x0)))) + 27.420208"
