Complexity,Loss,Equation
1,697.3406,"25.218153"
3,381.76645,"0.012502657 ^ x0"
4,100.900505,"exp(3.1444545 - x0)"
5,0.36270207,"25.030941 - (x0 * 37.418613)"
7,0.36265856,"(24.6199 - (x0 * 37.414585)) + 0.41655198"
9,0.3626585,"(25.017735 - ((x0 * 37.414585) + 0.3978355)) + 0.41655198"
11,0.36241668,"25.048317 - ((((x0 + -0.9788648) * 0.024269955) + 37.442318) * x0)"
14,0.36166546,"25.048317 - (x0 * (((x0 * (abs(x0) + -0.8316292)) * 0.46501276) + 37.442318))"
15,0.36166295,"25.048317 - (x0 * ((x0 * asinh((abs(x0) + -0.8316292) * 0.46501276)) + 37.442318))"
16,0.3610829,"x0 + (25.028507 - (((x0 * ((abs(x0) + -0.8692039) * 0.5840354)) + 38.40859) * x0))"
19,0.3610686,"(25.028507 - ((((x0 + tanh(x0)) * ((abs(x0) + -0.8692039) * 0.33595994)) + 38.40859) * x0)) + x0"
21,0.3608843,"25.033941 - (x0 * ((tanh(abs((x0 * x0) * asinh(x0 + -1.0544288)) * -1.3802516) * exp(x0)) + 37.775368))"
27,0.3607,"25.033941 - (x0 * ((tanh((((x0 * x0) * abs(asinh(x0 + -1.0544288))) * (x0 + 2.3964899)) * -0.5759472) * exp(x0 * 0.6907241)) + 37.775368))"
28,0.36056727,"25.033941 - (x0 * (asinh(tanh((((x0 * abs(asinh(x0 + -1.0544288))) * (x0 + 2.3964899)) * -0.5759472) * x0) * exp(x0 * 0.6907241)) + 37.775368))"
29,0.36054137,"25.033941 - (x0 * (asinh(asinh(tanh((x0 * (abs(asinh(x0 + -1.0544288)) * ((x0 + 2.3964899) * -0.5759472))) * x0) * exp(x0 * 0.6907241))) + 37.775368))"
