Complexity,Loss,Equation
1,4289.324,"-11.931337"
3,148.49551,"x0 * 92.724304"
5,16.68505,"(x0 / 0.010794547) + -11.485157"
10,16.681889,"(((x0 / 0.010817714) - 11.457945) + x0) - tanh(x0)"
11,16.680727,"((x0 / 0.010832057) - 11.457945) + (x0 - tanh(tanh(x0)))"
12,16.679646,"((x0 / 0.010817714) - (11.457945 + tanh(x0 + 0.08089618))) + x0"
13,16.619617,"(x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(x0))))) - 11.445818"
14,16.61926,"(x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(tan(x0)))))) - 11.457945"
15,16.619009,"(x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(tan(tan(x0))))))) - 11.457945"
16,16.618938,"(x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(tan(sinh(tan(x0)))))))) - 11.457945"
17,16.600143,"((x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(x0))))) - 11.457945) + (x0 * 0.22017987)"
18,16.59759,"((x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(x0))))) - (tanh(x0) + 11.457945)) + x0"
19,16.597187,"((x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(tan(x0)))))) - (tanh(x0) + 11.457945)) + x0"
21,16.596529,"((tanh(asin(x0)) + (x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(x0)))))) - 11.457945) - tanh(tanh(x0))"
22,16.596128,"((tanh(asin(x0)) + (x0 / exp(-2.9834895 - cosh(tanh(9.729894 - inv(tan(x0))))))) - 11.457945) - tanh(tanh(x0))"
