Complexity,Loss,Equation
1,3776.5007,"-31.69315"
3,1009.4398,"x0 * 87.05018"
5,30.333727,"(x0 - 0.3607317) * 86.73331"
7,30.292845,"(x0 - 0.35570362) * (86.36729 - x0)"
8,30.256594,"(x0 - 0.35488892) * (86.2353 - sign(x0))"
10,30.24341,"(86.2353 - sign(x0 + 0.07302765)) * (x0 - 0.35488892)"
13,30.236948,"(x0 - 0.35570362) * (106.75541 - (tanh(inv(0.07302765 + x0)) + 20.388123))"
14,30.07331,"(x0 - 0.35570362) * (106.75541 - ((x0 - sin(x0 * 56.83267)) + 20.388123))"
15,30.071783,"(106.75541 - ((x0 - sin(sin(x0 * 56.83267))) + 20.388123)) * (x0 - 0.35570362)"
17,30.010597,"(106.75541 - ((sin(asinh(sign(x0))) - sin(x0 * 56.83267)) + 20.388123)) * (x0 - 0.35570362)"
