Complexity,Loss,Equation
1,1270.8385,"48.466637"
3,1221.031,"48.47692 - x0"
4,78.83195,"sinh(4.364759 - x0)"
5,0.24692506,"(x0 * -50.516533) + 48.214367"
8,0.2465639,"(sinh(x0) + 48.222736) - (x0 * 51.630123)"
10,0.2463603,"48.216686 - ((x0 * 50.628185) - (x0 - sin(x0)))"
11,0.24633405,"((48.216686 - (x0 * 50.628185)) + x0) - atan(sinh(x0))"
12,0.24633357,"(48.216686 - (x0 * 50.628185)) + sinh(x0 - atan(sinh(x0)))"
13,0.24631475,"((48.216686 - (x0 * 50.628185)) + (x0 / 0.9976108)) - atan(sinh(x0))"
15,0.24598871,"x0 + ((34.88446 - sin(asinh(asinh(asin(x0))))) + (13.330006 - (50.658516 * x0)))"
18,0.24594267,"((13.330006 - (x0 * 50.658516)) + ((x0 + (x0 - asinh(x0))) + 34.88446)) - atan(asin(x0))"
21,0.2459096,"((x0 + (34.88446 + (x0 - sin(asinh(asin(x0)))))) - sin(asinh(asin(x0)))) + (13.330006 - (x0 * 50.658516))"
