Complexity,Loss,Equation
1,2840.9424,"-66.05135"
3,2766.218,"x0 + -66.04714"
4,211.1228,"acos(x0) * -46.008102"
5,0.0023727708,"(x0 * 75.53553) + -65.695496"
9,0.0023707256,"(x0 * ((x0 + 27117.184) / 359.0)) + -65.69611"
12,0.0023667868,"(((sign(x0) + (x0 * 26269.787)) + 847.538) / 347.80368) + -68.13268"
13,0.0023638923,"(((x0 * 26269.787) + (asinh(inv(x0)) + 847.538)) / 347.80368) + -68.13268"
14,0.0023637873,"((((x0 * 26269.787) + asinh(inv(sin(x0)))) + 847.538) / 347.80368) + -68.13268"
15,0.002362508,"(((sinh(asin(tanh(inv(x0)))) + 847.538) + (x0 * 26269.787)) / 347.80368) + -68.13268"
16,0.0023624704,"(((sinh(asin(tanh(inv(sinh(x0))))) + 847.538) + (x0 * 26269.787)) / 347.80368) + -68.13268"
17,0.0023620834,"(((x0 * 26269.787) + (tan(sinh(tanh(inv(x0 * 1.3532373)))) + 847.538)) / 347.80368) + -68.13268"
18,0.0023620427,"(((x0 * 26269.787) + (tan(sinh(tanh(0.85279226 / (x0 * 1.2663021)))) + 847.538)) / 347.80368) + -68.13268"
19,0.0023618778,"((((x0 * 26269.787) + tan(sinh(tanh(0.85279226 / sin(x0 * 1.2710403))))) + 847.538) / 347.80368) + -68.13268"
20,0.002361549,"((847.538 + ((x0 * 26269.787) + sinh(tan(tanh(inv(x0 * (cos(x0) ^ x0))))))) / 347.80368) + -68.13268"
22,0.002360873,"(((x0 * 26269.787) + (sinh(tan(tanh(inv(x0 * ((cos(x0) ^ x0) * 1.8041407))))) + 847.538)) / 347.80368) + -68.13268"
23,0.0023606273,"(((x0 * 26269.787) + (847.538 - (cos(((0.22488247 ^ x0) * x0) * 847.538) - atan(x0 * 11.24354)))) / 347.80368) + -68.13268"
24,0.0023581868,"((((x0 * 26269.787) + 847.538) - sinh(cos(((0.2268525 ^ x0) * x0) * 847.538) - tanh(x0 * 11.243541))) / 347.80408) + -68.13438"
