Complexity,Loss,Equation
1,2364.238,"2.9589279"
2,2279.6707,"acos(x0)"
3,7.027615,"x0 * -68.932106"
5,0.12479052,"(x0 * -68.904205) + 2.6268463"
8,0.124790475,"2.570117 + ((x0 * neg(68.904205)) + 0.056729265)"
9,0.12393323,"2.5820973 + (x0 * (-68.91643 - (x0 * -0.09720398)))"
10,0.123878166,"(x0 * (-68.91643 - (atan(x0) * -0.1176682))) + 2.5820973"
11,0.123857886,"(x0 * (-68.91643 - (asinh(atan(x0)) * -0.1176682))) + 2.5820973"
12,0.1238047,"(x0 * (-68.91643 - (atan(x0 + 0.18700247) * -0.1176682))) + 2.5820973"
13,0.12378354,"(x0 * (-68.93626 - (sin(sinh(x0 - -0.49404055)) * -0.107549615))) + 2.585944"
14,0.12378027,"((x0 * -68.93626) - (sin((x0 - -0.49404055) * x0) * -0.107549615)) + 2.585944"
15,0.1237437,"((x0 * -68.93626) - (sin(sinh((x0 - -0.49404055) * x0)) * -0.107549615)) + 2.585944"
17,0.12374109,"((x0 * -68.93626) - (sinh(sin(sin(sinh((x0 - -0.49404055) * x0)))) * -0.107549615)) + 2.585944"
18,0.12359511,"(x0 * (-69.27433 - neg(sin((-68.95078 - (acos(x0) * -0.14478888)) - (x0 * -0.29909402))))) + 2.571898"
19,0.12358197,"(x0 * (-69.27433 - neg(sin((-68.95078 - (acos(x0) * -0.14478888)) - tanh(x0 * -0.30852434))))) + 2.571898"
20,0.12354143,"(x0 * (-69.27433 - sin(neg((-68.95078 - ((acos(x0) - 0.061256494) * -0.14478888)) - (x0 * -0.29909402))))) + 2.571898"
