Complexity,Loss,Equation
1,47.00494,"38.387825"
3,37.83349,"38.382984 - x0"
4,34.62851,"38.382984 - tan(x0)"
5,0.06181577,"(x0 * -9.707711) + 38.343918"
7,0.061810553,"((x0 + -3.5788057) * -10.713548) + x0"
9,0.06180387,"((x0 + -7.161521) * -10.711973) + (x0 - 38.37329)"
11,0.061803862,"(((x0 + -7.161521) * -10.711973) + (x0 - 38.374905)) - -0.0016128746"
13,0.06180136,"x0 + ((5.1795955 - (x0 / x0)) + ((x0 + -3.189961) * -10.708949))"
17,0.06180129,"((((x0 + -0.82251734) * -11.708825) + (x0 - -1.1072133)) + 28.60234) + (x0 - (x0 / x0))"
19,0.06180127,"((((x0 + -0.82251734) * -11.708825) + 28.602121) + x0) + (((x0 - -1.1072133) - (x0 / x0)) - -0.00021950592)"
20,0.06180126,"(x0 - (x0 / x0)) + (((abs(-1.1072133 - x0) + ((x0 + -0.82251734) * -11.708825)) + 28.602121) - -0.00021950592)"
