Complexity,Loss,Equation
1,1631.0486,"87.22322"
3,1575.4495,"x0 - -87.22322"
4,376.61597,"cosh(x0 + 4.831205)"
5,51.050682,"(x0 * 56.29135) - -87.50976"
8,50.820892,"((x0 * 55.231552) - -87.52935) + sign(x0)"
10,50.818256,"((x0 * 55.231552) - tanh(x0 * -21.503304)) - -87.52935"
11,50.79903,"((x0 * 55.231552) - tanh(inv(x0 * -0.8274839))) - -87.52935"
14,50.75744,"((x0 * 55.231552) - tanh(x0 * ((x0 * 55.231552) - 54.589016))) - -87.52935"
15,50.75139,"((x0 * 55.231552) - tanh(tanh(x0) * ((x0 * 55.231552) - 54.589016))) - -87.52935"
21,50.741188,"((x0 * 55.231552) - tanh(x0 * (((x0 * 55.231552) - tanh((x0 * 55.231552) - 55.231552)) - 55.231552))) - -87.52935"
22,50.736465,"((x0 * 55.231552) - tanh(inv(x0) * (((x0 * 55.231552) - tanh((x0 * 55.231552) - 55.231552)) - 55.231552))) - -87.52935"
23,50.730736,"((x0 * 55.231552) - tanh(x0 * (((x0 * 55.231552) - tanh((x0 * (x0 * 55.231552)) - 55.231552)) - 55.231552))) - -87.52935"
24,50.7259,"((x0 * 55.231552) - tanh(inv(x0) * (((x0 * 55.231552) - tanh((x0 * (x0 * 55.231552)) - 55.231552)) - 55.231552))) - -87.52935"
