Complexity,Loss,Equation
1,2800.4443,"-43.364624"
3,1858.0543,"x0 * 75.307976"
4,547.5341,"sinh(x0 + -4.4408784)"
5,9.840361,"(x0 * 74.87053) + -42.985096"
7,9.8403225,"tan(atan(-42.985096 + (74.87053 * x0)))"
14,9.838815,"((x0 + x0) * 37.506813) + (-42.03994 - log(2.6838255 - cos(inv(x0))))"
15,9.830943,"(((x0 + x0) * 37.506813) + -42.03994) - log(2.6838255 - cos(x0 * 12.721934))"
16,9.8230505,"(((x0 + x0) * 37.506813) + -42.03994) - log(2.6838255 - asinh(cos(x0 * 12.721934)))"
17,9.822469,"(((x0 + x0) * 37.506813) + -42.03994) - log(2.6838255 - cos((x0 + 2.0168962) * 12.721934))"
18,9.797825,"((x0 + x0) * 37.506813) + (-42.03994 - log(2.6838255 - cos((asin(x0) * 5.9693127) + 2.0168962)))"
19,9.773514,"((x0 + x0) * 37.506813) + (-42.03994 - log(2.7870872 - sign(cos((asin(x0) * 5.9693127) + 2.0168962))))"
22,9.768813,"((x0 + x0) * 37.506813) + (-42.03994 - log(2.6838255 - cos(1.5183921 - sign(cos((asin(x0) * 5.9693127) + 2.0168962)))))"
