Complexity,Loss,Equation
1,1071.4714,"-43.73149"
3,1025.7909,"-43.609768 - x0"
4,68.10982,"sinh(-4.274561 - x0)"
5,0.059044946,"(x0 * -46.38648) + -43.964005"
6,0.05904484,"neg(43.96293 - (-46.38648 * x0))"
8,0.059044823,"neg((43.961567 - (x0 * -46.38648)) + 0.001360244)"
14,0.059017286,"(((abs(x0) * 0.037107684) - 6.7133775) * x0) + (-43.964005 - (x0 * 39.698494))"
15,0.05899159,"(((((x0 * x0) * 0.037107684) - 6.7133775) * x0) + -43.964005) - (x0 * 39.698494)"
16,0.058406208,"((sin(x0 / 0.026578343) * -0.026578343) - (x0 * 7.723277)) + (-43.964287 - (x0 * 38.664677))"
24,0.05833071,"(sin(tan(-2.1935587 / sin(-13.446737 / ((x0 * x0) * -0.74527013)))) * -0.026572086) + ((-43.964287 - (x0 * 7.723277)) - (x0 * 38.664677))"
