Complexity,Loss,Equation
1,90.02743,"44.24463"
3,79.70787,"44.23648 - x0"
4,76.086624,"44.234936 - tan(x0)"
5,31.29115,"(4.1347556 - x0) / 0.09344142"
7,31.280474,"((4.1075773 - x0) / 0.091184065) - 0.84147096"
9,31.27497,"((4.372479 - x0) / 0.10157218) - (x0 - 1.1476669)"
11,31.274782,"(((5.0829053 - x0) / 0.11283554) - (0.8569245 + x0)) - x0"
12,31.273302,"(tan(x0) + (((3.4661853 - x0) / 0.07531198) + -1.7633822)) + x0"
14,31.268112,"(x0 + (tan(x0) + (((3.4661803 - x0) / 0.075659364) + -1.7633826))) + 0.12553434"
16,31.257765,"((5.0829053 - x0) / 0.11283554) - (0.8569245 + asinh(x0 - neg(x0 - neg(x0))))"
17,31.256737,"((5.0829053 - x0) / 0.11283554) - (0.8569245 + asinh(x0 - neg(asin(x0) - neg(x0))))"
18,31.254673,"((5.0829053 - x0) / 0.11283554) - (0.8569245 + asinh(x0 - neg(asin(x0) - neg(sin(x0)))))"
20,31.224068,"(x0 + (tan(x0) + (((3.4661853 - x0) / 0.07531198) + -1.7633822))) + (asinh(tan(x0 + -1.9948001)) * 0.14469923)"
25,31.208569,"x0 + ((x0 + (((3.4661853 - x0) / 0.07531198) + (asinh(tan(x0 + -1.9948001)) * 0.14469923))) - (tanh(x0) - (tan(x0) + -1.7633822)))"
27,31.193504,"((x0 + x0) + ((asinh(tan(x0 + -1.9948001) * 0.14469923) * x0) + ((3.4661853 - x0) / 0.07531198))) - (tanh(x0) - (tan(x0) + -1.7633822))"
29,31.182543,"(x0 + (x0 + ((asinh((x0 + tan(x0 + -1.9948001)) * 0.14469923) * x0) + ((3.4661853 - x0) / 0.07531198)))) - (tanh(x0) - (tan(x0) + -1.7633822))"
