Complexity,Loss,Equation
1,3360.8813,"37.350178"
3,1382.0874,"x0 * -82.33011"
4,995.30554,"40.57776 / exp(x0)"
5,18.580164,"36.901012 - (x0 * 81.96386)"
6,1.3919226,"asinh(0.46860853 - x0) * 95.344284"
8,0.9204027,"(asinh(0.57469976 - x0) * 97.94272) + -9.497729"
9,1.4784394e-11,"(x0 * ((x0 * -12.200182) - 81.97736)) + 43.0015"
11,1.2730301e-11,"(((x0 * x0) * -12.200181) + 43.0015) - (x0 * 81.97736)"
13,8.956012e-12,"((x0 * ((x0 * -12.200181) - 16.829927)) + 43.0015) - (x0 * 65.14744)"
15,8.335964e-12,"(((x0 * -23.7946) - (x0 * (x0 * 12.200181))) + 43.0015) + (x0 * -58.182766)"
