Complexity,Loss,Equation
1,1200.4011,"-92.57569"
3,1180.4963,"x0 + -92.58845"
4,337.76663,"-69.40571 / cos(x0)"
5,273.21005,"-74.7055 / sinh(cos(x0))"
6,122.34596,"-67.2163 / cos(x0 + -0.13034016)"
7,69.55119,"-72.96291 / sinh(cos(x0 + -0.11727471))"
8,5.310184,"-38.191128 / (0.283411 ^ abs(x0 + -0.11727471))"
9,2.3836037e-11,"(x0 * ((0.2259524 - x0) * 89.12125)) + -48.108944"
13,2.1900632e-11,"(((0.17065057 - (x0 * -0.24474983)) - x0) * (x0 * 118.00229)) + -48.108944"
19,2.0649168e-11,"((12.712448 - ((x0 * -20.137157) - (x0 * (x0 * -31.227327)))) - ((x0 * x0) * 57.89392)) + -60.821392"
