Complexity,Loss,Equation
1,2567.42,"49.939953"
3,1923.991,"151.24251 ^ x0"
4,430.81006,"exp(x0 + 3.8123918)"
5,19.187885,"(x0 * 71.653206) + 50.331688"
6,0.3587203,"asinh(x0 - -0.69412345) * 88.55165"
8,0.2921392,"asinh(x0 - -0.6939806) * (x0 + 87.8956)"
9,1.0278936e-11,"((71.48932 - (x0 * 12.396362)) * x0) + 56.496464"
11,8.120531e-12,"((x0 * (71.48932 - (x0 * 12.39636))) + 28.357363) - -28.139101"
12,8.111436e-12,"neg((((-71.48932 - (x0 * -12.39636)) * x0) + -30.774935) - 25.721529)"
13,8.076875e-12,"((x0 * (71.48932 - (sinh(asinh(x0)) * 12.39636))) + 28.357363) - -28.139101"
14,8.06778e-12,"neg(((x0 * (-71.48932 - (sinh(asinh(x0)) * -12.39636))) + -30.774935) - 25.721529)"
