Complexity,Loss,Equation
1,516.318,"52.111908"
3,506.6241,"52.11726 - x0"
4,159.06688,"cos(x0) * 70.85741"
5,82.49238,"cos(sinh(x0)) * 75.78768"
6,54.85493,"(cos(x0) * 132.68703) + -49.387756"
7,25.427494,"cos(sinh(x0 + 0.10905089)) * 76.45419"
8,0.3237965,"(cos(x0 + 0.089266) * 133.22346) + -49.602917"
10,0.008107749,"((cos(x0 + 0.08572721) * 238.05576) + -96.670006) ^ 0.89232516"
12,0.0075034327,"(((cos(x0 + 0.07740868) * 240.64758) + -97.99793) ^ 0.8905133) - x0"
13,0.0066953963,"(((cos(x0 + 0.078502156) * 240.64195) + -98.003914) ^ 0.89055717) - sin(x0)"
15,0.006457195,"(((cos(x0 + 0.08817741) * 238.99405) + -97.86993) ^ 0.8918577) + (0.5140835 ^ acos(x0))"
17,0.0027715967,"((0.15290295 ^ acos(x0)) + -3.9023561) + (((cos(x0 + 0.08698396) * 276.17978) + -107.91924) ^ 0.8708347)"
18,0.0027458272,"abs(((((cos(x0 + 0.08698396) * 276.17978) + -107.91924) ^ 0.8708347) + (0.15056883 ^ acos(x0))) + -3.9023561)"
19,0.0025798385,"(0.06131041 ^ acos(x0)) + ((((cos(x0 + 0.07835671) * 276.4387) + -108.08449) ^ 0.8707438) + (-3.9360363 - x0))"
20,0.0025747619,"(0.062681824 ^ acos(x0)) + abs(((((cos(x0 + 0.078426495) * 276.43948) + -108.08364) ^ 0.870728) + -3.93408) - x0)"
21,0.0025077537,"(((cos(x0 + 0.07108684) * 276.5258) + -108.213905) ^ 0.8706609) + ((0.21744964 ^ acos(x0)) + (-4.0435586 - (x0 + x0)))"
25,0.0022936345,"abs((x0 + (((asinh(0.061305907 ^ acos(x0)) + (((cos(x0 + 0.07836304) * 276.4387) + -108.08449) ^ 0.870725)) + -3.936044) - x0)) - x0)"
