Complexity,Loss,Equation
1,104.92524,"72.98534"
3,104.7334,"73.004524 - x0"
4,2.0913644,"90.01064 / cosh(x0)"
6,0.36752596,"140.4605 - (cosh(x0) * 53.339825)"
8,0.043358922,"(2.6344786 - cosh(x0 - -0.013673145)) * 53.30183"
10,0.02536115,"158.93774 - (cosh((-0.01353251 - x0) * -0.869904) * 71.769806)"
11,0.021354705,"(139.11835 - (cosh(x0 - -0.013745416) * 51.774185)) - abs(x0)"
12,0.020095946,"(139.53297 - (cosh(x0 - -0.013445896) * 52.18328)) - abs(tanh(x0))"
13,0.018707028,"abs((-86.40345 - cosh(x0)) - ((x0 * -29.51016) * x0)) - x0"
14,0.016541127,"(51.516396 / ((x0 / sin(x0)) / 3.510404)) + (-92.2646 - (2.098979 ^ x0))"
15,0.006818974,"((136.64217 - (cosh(x0) * 50.088814)) - sin(cosh(x0) * 5.478688)) - atan(x0)"
16,0.004126183,"((137.38213 - (cosh(x0) * 50.679436)) - sin(sin(cosh(x0) * 5.5641937))) - atan(x0)"
17,0.0018296102,"((139.62025 - (cosh(x0) * 52.171173)) - sin(52.31178 - (cosh(x0) * -4.3207617))) - atan(x0)"
18,0.0014185963,"((139.51271 - (cosh(x0) * 52.18364)) - sin(sin(1.4276276 - (cosh(x0) * -4.794651)))) - atan(x0)"
19,0.0004250664,"abs(((139.80977 - (cosh(x0) * 52.304424)) - sin(2.170367 - (cosh(x0) * -4.24761))) - (x0 * 0.8130396))"
20,3.689557e-5,"abs(((139.70784 - (cosh(x0) * 52.33125)) - sin(sin((2.311278 - cosh(x0)) * -4.8045535))) - (x0 * 0.80718726))"
22,3.4771827e-5,"(x0 * -0.8068483) + (((139.58495 - (cosh(x0) * 52.38774)) - sin(sin(abs((cosh(x0) * -4.7970886) - 1.4860326)))) + 0.19824575)"
