Complexity,Loss,Equation
1,1865.7842,"-68.2192"
3,1812.139,"x0 + -68.31498"
4,416.83047,"acos(x0) * -43.044468"
5,273.43753,"(125.52419 ^ x0) + -91.525955"
6,31.190718,"sin(x0 - 0.97025156) * 109.24893"
7,2.8961353,"sin(sinh(x0) - 1.030765) * 111.504616"
9,1.1474638e-11,"(((x0 * 56.167255) + 54.592243) * x0) - 95.95004"
11,1.0071401e-11,"(((23.410368 - (x0 * -56.167255)) + 31.181875) * x0) - 95.95004"
13,9.62808e-12,"((((25.725132 - (x0 * -56.167255)) + 28.86711) * x0) - 80.988594) - 14.961447"
21,9.553786e-12,"(x0 - x0) + (((-0.16166458 - (x0 - (x0 + 0.19018407))) + (x0 * (54.592243 - (x0 * -56.167255)))) - 95.97856)"
