Complexity,Loss,Equation
1,3874.9646,"47.30317"
3,2197.756,"175.17854 ^ x0"
4,900.7673,"exp(x0 - -3.8724647)"
5,9.278441,"(x0 * 88.07713) + 47.67567"
7,9.2784395,"-4.310651 + (51.98632 + (x0 * 88.07713))"
8,7.251845,"neg(((x0 + -88.152054) * x0) + -48.16518)"
9,1.4726073e-11,"(x0 * ((x0 * -8.621301) + 88.07713)) + 51.98632"
11,1.2015267e-11,"(x0 * 88.07713) + ((x0 * (x0 * -8.621301)) + 51.98632)"
13,1.1671478e-11,"(x0 * 88.07713) + (((x0 * (x0 * -6.7538605)) * 1.2764996) + 51.98632)"
15,1.0715237e-11,"((x0 + (x0 + ((x0 * x0) * -8.621301))) + 51.98632) + (x0 * 86.07713)"
