Complexity,Loss,Equation
1,4599.424,"37.85393"
3,2189.2917,"x0 * -87.78311"
4,839.41583,"exp(x0 / -0.18866701)"
5,239.96146,"(1.5427626 - x0) ^ 5.5278273"
6,47.040203,"sinh(x0 + -4.8413625) * x0"
7,1.6978996,"x0 * ((x0 * 76.586296) + -87.084564)"
9,2.6329577e-11,"((-87.14106 - (x0 * -79.61467)) * x0) + -2.2504506"
11,2.2613708e-11,"(((x0 * x0) * 79.61466) + -2.2504468) - (x0 * 87.14106)"
13,2.0335062e-11,"((x0 + -2.2504475) + ((x0 * x0) * 79.61466)) - (x0 * 88.14106)"
14,2.016861e-11,"neg(((x0 + 2.2504473) + ((x0 * x0) * -79.61466)) - (x0 * -86.14106))"
15,1.8982997e-11,"(((x0 + -0.0056976336) + ((x0 * x0) * 79.61466)) - (x0 * 88.14106)) + -2.2447484"
22,1.7981708e-11,"neg((((x0 + ((x0 / -21.69395) + x0)) + (((x0 * x0) * -79.61466) + 18.15551)) - (x0 * -85.18716)) + -15.905063)"
27,1.7291559e-11,"(((x0 * (x0 * 47.186493)) + (((x0 + x0) + ((x0 * (x0 * 32.42817)) + -0.07158388)) - (x0 * 24.767616))) - (x0 * 64.37344)) + -2.1788633"
