Complexity,Loss,Equation
1,1210.6019,"104.019554"
3,1163.4613,"104.01488 - x0"
4,748.9792,"exp(4.255037 - x0)"
5,34.541103,"(5.5648446 - x0) ^ 2.6842227"
6,1.8891612,"exp(3.7442086 - x0) - -50.32072"
9,2.0256265e-11,"(x0 * (-47.743176 - (x0 * -23.875854))) - -91.90314"
11,2.013985e-11,"(x0 * (-47.743176 - (atan(tan(x0)) * -23.875854))) - -91.90314"
13,2.0023436e-11,"((-47.743176 - (x0 * -23.875854)) * atan(atan(tan(tan(x0))))) - -91.90314"
14,1.618173e-11,"abs(((-17.244787 - ((x0 * x0) * -23.87585)) - (x0 * 47.743176)) - -109.14793)"
16,1.4901162e-11,"abs((((-35.304977 - (x0 * -23.87585)) * x0) - (-15.44736 - (x0 * -12.438199))) - -76.45578)"
