Complexity,Loss,Equation
1,2088.086,"28.228872"
3,738.82263,"0.008162397 ^ x0"
4,519.8615,"0.016172627 ^ sign(x0)"
5,19.69285,"(0.4327644 - x0) * 64.52084"
6,3.244334,"sinh(0.40831545 - x0) * 52.505165"
7,1.18184,"sinh(0.37631267 - asinh(x0)) * 60.08344"
8,0.11288177,"(0.983631 - asinh(x0 - -0.7929169)) * 82.514496"
9,8.228416e-12,"(x0 * ((x0 * 12.559651) - 64.40224)) - -21.693193"
11,6.516747e-12,"((x0 * (x0 * 12.559648)) - -21.693195) - (x0 * 64.40224)"
13,5.418246e-12,"((((x0 * x0) * 12.559648) - -2.0471756) - (x0 * 64.40224)) - -19.64602"
14,4.8908247e-12,"neg(((((x0 * x0) * -12.559648) - 0.26187408) - (x0 * -64.40224)) - 21.431322)"
