Complexity,Loss,Equation
1,1475.8391,"17.948528"
3,303.23856,"106.39138 ^ x0"
4,271.58444,"405.26953 ^ tanh(x0)"
6,251.88165,"(438.67844 ^ tanh(x0)) + -4.6039324"
7,211.00429,"((-0.63749653 - x0) * x0) * -52.13776"
8,85.589195,"abs((x0 * 105.93088) + 25.487936) + -51.02672"
10,75.15607,"abs((84.010414 ^ x0) + (x0 * 53.51179)) + -32.459625"
11,1.1049063e-11,"((x0 * x0) * 86.64712) + (-25.079958 - (x0 * -33.233))"
13,1.008594e-11,"(-22.878872 - ((x0 * x0) * -86.64712)) - ((x0 * -33.233) + 2.2010865)"
17,9.044101e-12,"((((x0 * x0) * 53.079456) + -25.079958) - (x0 * -33.233)) + (x0 * (x0 * 33.56766))"
18,9.000464e-12,"neg((x0 * (x0 * -29.559597)) + ((((x0 * x0) * -57.08752) + 25.079958) - (x0 * 33.233)))"
