Complexity,Loss,Equation
1,1260.0999,"-106.79574"
3,1216.9293,"x0 + -106.823875"
4,951.19214,"cosh(x0) * -84.58753"
5,105.63071,"-215.34587 / (x0 + 2.263468)"
6,3.1696193,"cosh(0.49262622 - x0) * -75.10593"
8,1.722112,"(cosh(0.4553718 - x0) * -81.80071) + 7.831623"
9,0.6770072,"(cosh(0.3858517 - asinh(x0)) * -110.53544) + 37.86636"
11,0.573593,"(x0 + ((0.10995306 - cosh(x0)) - cosh(x0))) * 44.043404"
12,0.134021,"((x0 - exp(cosh(asinh(x0) * 0.91990465))) * 43.659313) + 36.640076"
15,0.13345131,"((x0 - exp(cosh(asinh((sinh(x0) / 12.104861) - x0)))) * 43.664764) + 36.69465"
22,0.13308586,"((x0 - exp(cosh(asinh(x0 - (sinh(x0 - ((x0 - sign(x0)) / 36.656918)) / 12.055584))))) * 43.66582) + 36.641888"
23,0.13301073,"((x0 - exp(cosh(asinh(x0 - (sinh(x0 - (atan(x0 - sign(x0)) / 36.656918)) / 12.055584))))) * 43.66582) + 36.641888"
26,0.1326975,"((x0 - exp(cosh(asinh((sinh(x0 - ((x0 - sign(x0 - (x0 * x0))) / 36.656918)) / 12.055584) - x0)))) * 43.66582) + 36.641888"
