Complexity,Loss,Equation
1,147.45921,"89.885445"
3,140.8117,"89.88632 - x0"
4,32.778774,"cosh(x0) * 70.75584"
5,26.350842,"cosh(asinh(x0)) * 73.98154"
6,8.230832,"cosh(0.089220464 - x0) * 70.43315"
7,1.5548792,"cosh(0.095569946 - asinh(x0)) * 73.603516"
8,1.3252732,"cosh((0.11045623 - x0) * 0.88374496) * 74.205795"
9,1.2787005,"((x0 * 31.043047) * (x0 - 0.2271659)) + 74.39317"
13,1.2785715,"(((x0 - 0.22337501) * x0) * ((x0 * -0.17400527) + 31.043047)) + 74.39317"
14,1.2783258,"((x0 - 0.22337501) * (x0 * ((tanh(x0) * -0.19080369) + 31.043047))) + 74.39317"
