Complexity,Loss,Equation
1,4970.185,"59.071068"
3,1365.1094,"0.0042937826 ^ x0"
4,838.9195,"cosh(x0 + -4.7489805)"
5,60.921196,"acos(tanh(x0)) ^ 5.9371943"
6,22.879868,"acos(atan(atan(x0))) ^ 6.289985"
8,21.92168,"(acos(tanh(atan(x0))) ^ 6.3345923) - 1.6513914"
9,3.6860554,"(x0 * (-91.51199 - (x0 * -78.7657))) + 19.386"
11,3.6845093,"(x0 * ((-91.51199 - (x0 * -78.7657)) + 0.04743845)) + 19.386"
12,3.6842716,"19.474503 - (x0 * (91.48396 - (x0 * (cosh(x0) + 77.12137))))"
14,3.6836283,"19.474503 - (x0 * (91.48396 - ((x0 * 77.12137) + (tan(x0) * 1.0752124))))"
18,3.6744308,"(22.982296 - ((x0 * (90.970375 - (x0 * 78.843796))) - tanh(sign(abs(x0) - x0)))) + -4.006904"
20,3.6743212,"((22.982296 - ((x0 * (90.970375 - (x0 * 78.843796))) - tanh(sign(abs(x0) - x0)))) + -4.006904) + -0.015418399"
