Complexity,Loss,Equation
1,608.88605,"74.45503"
3,602.1286,"74.418976 - x0"
4,247.2431,"cosh(x0) * 60.06905"
5,169.2019,"sinh(cosh(x0)) * 45.448257"
6,144.58507,"(cosh(x0) * 111.22187) + -65.834045"
7,144.04813,"((x0 * x0) * 61.44571) + 43.976597"
8,122.97596,"(-170.21558 / cosh(x0 + -0.05787523)) - -212.05414"
9,119.32877,"(x0 * ((0.11706616 - x0) * -60.346058)) + 44.31401"
11,119.32868,"(x0 * (((0.12705153 - x0) * -60.346058) + 0.61760724)) + 44.31401"
13,119.217964,"(x0 * (((0.12705153 - x0) * -60.346058) + (x0 * x0))) + 44.31401"
20,119.20058,"(((((262.47012 / (x0 + -20.038614)) - (x0 * -103.69618)) * x0) + (x0 + 61.681915)) ^ 0.9108137) + cos(x0)"
21,119.15411,"(((((262.47012 / (x0 + -20.038614)) - (x0 * -103.69618)) * x0) + (asin(x0) + 61.681915)) ^ 0.9108137) + cos(x0)"
22,119.141594,"(((((262.47012 / (asin(x0) + -20.038614)) - (x0 * -103.69618)) * x0) + (asin(x0) + 61.681915)) ^ 0.9108137) + cos(x0)"
23,119.13335,"(((((262.47012 / ((x0 + x0) + -20.038614)) - (x0 * -103.69618)) * x0) + (asin(x0) + 61.681915)) ^ 0.9108137) + cos(x0)"
26,119.131195,"abs(((((((262.47012 / (((x0 + x0) * 0.968448) + -20.038614)) - (x0 * -103.69618)) * x0) + asin(x0)) + 61.681915) ^ 0.9108137) + cos(x0))"
28,119.12958,"((((((262.47012 / (((x0 + x0) * 0.968448) + -20.038614)) - (x0 * -103.69618)) * x0) + asin(x0)) + 61.681915) ^ 0.9108137) + abs(cos(x0 * x0))"
