Complexity,Loss,Equation
1,4078.542,"-108.26378"
3,3997.562,"-108.26668 - x0"
4,233.55682,"exp(x0) * -83.03292"
5,222.6173,"(2.538442 ^ x0) * -87.36824"
6,187.9922,"(exp(x0) * -75.88805) - 12.468303"
7,59.77598,"inv(tanh(0.24358006 ^ x0)) * -56.30793"
8,42.674263,"inv(tanh(0.18677266 ^ sin(x0))) * -54.387135"
9,41.61969,"inv(tanh(sinh(0.19334638 ^ sin(x0)))) * -56.506866"
11,24.293602,"(((x0 * x0) * -76.05653) + -70.799904) - (x0 * 82.14049)"
16,24.292147,"(((x0 * x0) * -73.867546) + (-70.122375 - (x0 * 82.143425))) - exp(x0 * x0)"
17,24.271341,"(((x0 * x0) * -73.867546) + (-70.122375 - (x0 * 82.143425))) - exp(sinh(x0 * x0))"
19,24.25873,"((((x0 * x0) * -73.867546) + (-70.122375 - (x0 * 82.143425))) - exp(sinh(x0 * x0))) + 0.0680359"
23,24.253172,"((((x0 * x0) * -76.05653) + -70.85068) - (x0 * 82.14049)) - exp(tan(x0) * (x0 * ((x0 * -6247.9824) + -6247.321)))"
26,24.246347,"((((x0 * x0) * -76.05653) + -70.85068) - (x0 * 82.14049)) - exp((x0 * ((x0 * -6247.321) + (x0 * (x0 * -6247.321)))) - -0.8429704)"
