Complexity,Loss,Equation
1,673.0489,"-124.59986"
3,671.1668,"-124.61202 - x0"
4,113.36024,"cosh(x0) * -99.13017"
5,105.22677,"cosh(cosh(x0)) * -64.27165"
6,85.58768,"(cosh(x0) * -124.691795) + 33.101536"
7,85.124016,"(x0 * (x0 * -68.96374)) + -90.2301"
8,82.8264,"(cosh(x0) * (-124.691795 - x0)) + 33.101536"
9,81.72315,"(x0 * ((x0 * -69.681076) - 2.6845052)) + -89.82043"
12,81.64583,"(((x0 * x0) * -68.202484) + (-90.77136 - x0)) - tan(x0)"
13,81.61302,"(-90.77136 + ((x0 * (-68.202484 * x0)) - tan(x0))) - sinh(x0)"
14,81.604614,"((((x0 * x0) * -68.202484) + -90.77136) - tan(x0)) - sinh(sinh(x0))"
15,81.59406,"((x0 * x0) * -68.96374) + (((-95.11936 - tan(x0)) - sinh(x0)) + 4.737196)"
16,81.58495,"(((((x0 * x0) * -68.96374) + -95.11936) - tan(x0)) - sinh(sinh(x0))) + 4.737196"
17,81.47586,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.061800737) - 74.81053) - x0) - tan(x0)"
18,81.35691,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.061800618) - 74.81053) - x0) - sin(inv(x0))"
19,81.14874,"(((sinh(sinh(-0.6700583 - sin(abs(sinh(x0))))) / 0.061800618) - 74.81053) - tan(x0)) - sin(inv(x0))"
20,81.128586,"(((sinh(sinh(-0.6700583 - sin(abs(sinh(x0))))) / 0.061800618) - 74.81053) - tan(x0)) - sin(inv(sin(x0)))"
21,81.03822,"(((sinh(sinh(-0.6700586 - sin(sinh(abs(x0))))) / 0.06180072) - 74.81053) - x0) - sin(inv(sin(inv(tanh(x0)))))"
22,80.79934,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.061800737) - 74.81053) - x0) - tan(sin(inv(sin(inv(tanh(x0))))))"
23,80.72276,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.06180061) - 74.81053) - asin(x0)) - tan(sin(inv(sin(inv(tanh(x0))))))"
25,80.62037,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.06180061) - 74.81053) - tan(x0)) - tan(sin(inv(sin(inv(sin(tanh(sinh(x0))))))))"
26,80.55965,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.06180061) - 74.81053) - x0) - tan(sin(inv(sin(inv(tanh(sin(sin(inv(tanh(x0))))))))))"
27,80.4753,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.06180061) - 74.81053) - asin(x0)) - tan(sin(inv(sin(inv(tanh(sin(sin(inv(tanh(x0))))))))))"
29,80.44682,"(((sinh(sinh(-0.6700583 - sin(sinh(abs(x0))))) / 0.06180061) - 74.81053) - asin(x0)) - tan(sin(inv(sin(inv(sin(inv(tanh(tanh(sin(inv(tanh(x0))))))))))))"
30,80.42397,"(((sinh(sinh(-0.6700583 - abs(sin(sinh(x0))))) / 0.06180061) - 74.81053) - asin(x0)) - tan(sin(inv(tanh(sin(inv(sin(inv(tanh(tanh(sin(inv(tanh(x0)))))))))))))"
