Complexity,Loss,Equation
1,639.669,"103.38747"
3,607.99225,"103.37938 - x0"
5,78.632774,"(0.013818715 ^ x0) - -88.66795"
7,7.042545,"((1.6114799 - x0) ^ 4.4489594) + 81.60575"
9,0.55298984,"((x0 * (x0 + -1.038147)) + 2.8320227) * 31.006891"
11,0.5517838,"((x0 * (x0 + -0.041774567)) + (2.844756 - x0)) * 30.88107"
15,0.55154926,"((((x0 * (x0 + -0.074092)) + (2.8448951 - x0)) * 30.893938) + -0.047846086) + x0"
19,0.55154884,"((x0 + (((x0 * (x0 + -0.074092)) + (2.8448951 - x0)) * 30.893938)) + (-0.047846086 - x0)) + x0"
23,0.5513987,"(((((0.0011161458 - x0) - x0) / x0) + ((((x0 * (x0 + -0.07324336)) + 2.8786654) - x0) * 30.921053)) + 0.81787163) + x0"
25,0.55139834,"(((((0.0011161458 - x0) - x0) / x0) + (x0 + 0.22853999)) + ((((x0 * (x0 + -0.07324336)) - x0) + 2.8786654) * 30.921053)) + 0.5893316"
