Complexity,Loss,Equation
1,780.592,"-82.83709"
3,742.1085,"-82.83709 - x0"
5,17.651861,"(x0 * -39.183605) + -83.039276"
7,14.840702,"((x0 - 39.08877) * x0) + -83.38534"
9,0.14539604,"(((x0 * 11.799063) + -39.09294) * x0) + -88.9029"
11,0.14521086,"(x0 * (((x0 * -11.44151) + 37.7531) * -1.0358658)) + -88.928894"
13,0.14515236,"((((x0 * -11.433093) + 36.77072) * (x0 * -1.03613)) - x0) + -88.92883"
15,0.14515038,"(((x0 * -1.03613) * ((x0 * -11.433093) + 36.77072)) + -88.92883) - (x0 / 1.0017115)"
17,0.14382976,"(((x0 * 11.799063) + -39.09294) * x0) + ((-0.0032028304 / ((x0 / 0.7550582) + 0.22461398)) + -88.89964)"
25,0.14381143,"(((x0 * 11.799063) + -39.09294) * x0) + ((-0.0032028304 / ((x0 / ((-0.0032028304 / ((x0 + -39.09294) / -39.09294)) + 0.7582611)) + 0.22461398)) + -88.9029)"
27,0.1438113,"(((x0 * 11.799063) + -39.09294) * x0) + ((-0.0032028304 / ((x0 / ((-0.0032028304 / (((x0 * 11.799063) + -39.09294) / -39.09294)) + 0.7582611)) + 0.22461398)) + -88.9029)"
