Complexity,Loss,Equation
1,1101.2405,"-103.73695"
3,1055.1138,"-103.73695 - x0"
5,0.9727875,"(1.5837045 ^ x0) * -98.717094"
7,0.41990054,"((1.4473397 ^ x0) * -124.59945) - -24.878426"
9,0.3749232,"(x0 * ((x0 * -8.699669) + -46.825592)) - 99.64409"
11,0.37449342,"-99.83573 + (((x0 * -8.685567) + -46.885902) * (x0 + -0.0040020947))"
15,0.3744931,"x0 + ((((x0 * -8.685567) + -46.885902) * (x0 + -0.0040020947)) + (-99.83573 - x0))"
17,0.3744928,"x0 + (((((x0 * -8.685567) + -46.885902) * (x0 + -0.0040020947)) + -0.20356196) - (x0 - -99.63217))"
19,0.37438577,"((x0 * (x0 * ((((-1.7402124 - x0) - x0) * -0.05881432) + -8.750326))) + (x0 * -46.965492)) + -99.663574"
23,0.37407446,"((x0 * (x0 * ((((-0.17302239 / x0) - (x0 / (1.2065816 - x0))) * -0.05881432) + -8.750326))) + (x0 * -46.965492)) + -99.663574"
27,0.3731297,"(x0 * (x0 * (-8.750326 + (((0.03013154 - x0) - ((x0 / (x0 + -0.28640512)) + (x0 - -0.28640512))) * -0.05881432)))) + ((x0 * -46.965492) + -99.663574)"
29,0.3731086,"(x0 * (x0 * (((((0.03013154 - x0) + -0.59970754) - (((x0 / (x0 + -0.28640512)) + x0) - 0.18649405)) * -0.05881432) + -8.750326))) + ((x0 * -46.965492) + -99.663574)"
