Complexity,Loss,Equation
1,2623.0454,"34.424812"
3,1322.3873,"x0 * 70.60605"
5,113.01125,"34.795403 - (x0 * -70.98232)"
7,111.578926,"35.164124 - (x0 * (x0 + -70.98232))"
9,108.06489,"((x0 + 0.5150731) / (-11.35844 - x0)) * -838.9106"
11,108.040085,"(((x0 + 0.5150731) / (-11.35844 - x0)) * -839.05914) + -0.14856495"
13,108.0398,"((x0 + 0.51245004) / ((-12.349781 - x0) + (x0 / -12.349781))) * -912.6035"
15,108.03806,"((x0 + 0.51245004) * -912.0787) / ((-12.349781 - x0) + (x0 / (-12.349781 - x0)))"
17,107.511826,"((x0 + 0.51245004) / (-12.349781 - ((0.5686388 / ((-0.32886565 - x0) * -12.349781)) + x0))) * -911.6228"
19,107.505875,"((x0 + 0.51245004) / (-12.349781 - (x0 + (0.5686388 / ((-0.32886565 - x0) * -12.349781))))) * (x0 - 911.685)"
21,107.482544,"((-913.37103 - (-0.32886565 / x0)) * (x0 + 0.51245004)) / (-12.349781 - (x0 + (0.51245004 / ((-0.32886565 - x0) * -9.853769))))"
23,107.44517,"((x0 + 0.51245004) / (-12.349781 - (x0 + (0.51245004 / (-0.32886565 - (x0 * (-12.349781 - (x0 + (0.51245004 / x0))))))))) * -910.99713"
25,107.43385,"((x0 + 0.51245004) / (-12.349781 - (x0 + (0.51245004 / (-0.32886565 - (x0 * (-12.349781 - (x0 + (0.51245004 / x0))))))))) * (x0 - 911.685)"
