Complexity,Loss,Equation
1,5052.275,"106.57301"
3,4966.8613,"106.57301 + x0"
5,749.91315,"2.746013 ^ (x0 + 4.370307)"
7,630.6665,"(5.6098022 ^ (x0 + 2.0737898)) - -39.805756"
9,567.7174,"((x0 - -1.1261001) / (0.012907936 / x0)) + 68.44695"
11,567.54553,"(((x0 - -1.1260998) / (0.0129067395 / x0)) + 68.43393) - x0"
13,567.4201,"(((x0 - -1.1261001) / (0.012907936 / x0)) + 68.460106) - (0.012907936 / x0)"
15,567.2355,"((x0 - -1.1260998) / (0.012906739 / x0)) + (68.44201 - ((0.012906739 / x0) / 0.33419812))"
17,565.8246,"((x0 - -1.1260998) / (0.012906739 / x0)) + (68.44201 - ((0.012906739 / x0) / (x0 + 0.57152086)))"
19,565.32806,"((x0 - -1.1260998) / (0.012906739 / x0)) + (68.44201 - (((0.012906739 / x0) - 0.012906739) / (x0 + 0.57152086)))"
21,564.779,"((68.44201 - (((0.012906739 / x0) - 0.025813477) / (x0 + 0.57152086))) + ((x0 - -1.1260998) / (0.012906739 / x0))) - x0"
25,564.61414,"(((x0 - -1.1260998) / (0.012906739 / x0)) + 68.44201) - (((0.012906739 / (x0 - 0.025813477)) / (x0 + 0.57152086)) / ((x0 + 0.59140944) - x0))"
27,564.3814,"((((x0 - -1.1260998) / (0.012906739 / x0)) + 68.44201) - (((0.012906739 / (x0 - 0.025813477)) / (x0 + 0.57152086)) / ((x0 + 0.59140944) - x0))) - x0"
