Complexity,Loss,Equation
1,6215.2466,"112.295975"
3,6116.053,"112.295975 - x0"
5,253.55353,"3.2593877 ^ (3.6976278 - x0)"
7,74.288055,"((1.9006803 - x0) ^ 5.0838413) + 44.23397"
9,1.8053144,"(x0 * ((x0 * 99.1229) + -99.70242)) + 62.44548"
11,1.6863006,"((x0 * ((x0 * 86.46898) + -87.49463)) + 57.037357) ^ 1.0228881"
13,1.6863002,"(((x0 * ((x0 * 86.46898) + -87.49463)) + 57.037357) ^ 1.0228881) - 0.0063759307"
15,1.6829143,"((x0 * ((x0 * ((x0 * -1.8205853) + 99.01689)) + -97.334694)) - -62.488567) - x0"
17,1.6827149,"((x0 * ((x0 * ((x0 * -1.8205853) + 99.01689)) + -97.334694)) - -62.488567) - (1.020968 * x0)"
19,1.67581,"((x0 * ((x0 * ((x0 * -1.8205853) + 99.01689)) + -97.334694)) - -62.488567) - (x0 - (0.0040001306 / x0))"
