Complexity,Loss,Equation
1,1754.649,"-71.70088"
3,1717.7355,"-71.701294 - x0"
5,117.982864,"-47.602642 - (131.9151 ^ x0)"
7,112.40413,"(-47.29017 - (133.68379 ^ x0)) + x0"
9,28.727613,"(x0 + -1.147078) * ((1104.9858 ^ x0) + 29.412579)"
11,13.736177,"((304.43674 ^ x0) + 12.129845) * ((x0 * 2.2515528) + -2.7823563)"
13,12.446266,"(((223.82433 ^ x0) + 10.881955) * ((x0 * 2.8862176) + -3.641744)) + 8.365399"
15,11.159188,"((((172.5166 ^ x0) + x0) + 11.245415) * ((x0 * 3.5905204) + -4.625547)) + 21.895012"
17,10.12552,"(((154.15543 ^ x0) + ((x0 + x0) + 12.482712)) * ((x0 * 4.21248) + -5.4460196)) + 38.985184"
19,10.1046295,"((((153.34474 ^ x0) + (x0 + (x0 + 12.402828))) * ((x0 * 4.213157) + -5.4438787)) + 37.811337) - x0"
21,0.08943891,"(((x0 - ((((-1.0453135 - x0) / ((0.30839467 / x0) / 4.1326513)) * x0) / -3.614877)) / -0.35465777) / -0.13193975) + -30.712229"
23,0.084865436,"(((x0 - (((x0 * (-1.0431011 - x0)) / ((0.29686016 / x0) / 3.4940665)) / -3.0518072)) / -0.34305432) / -0.14145261) + (x0 + -30.671062)"
27,0.08486539,"((((x0 - ((x0 * ((-1.0431011 - x0) / ((0.29686016 / x0) / 3.4940665))) / -3.0518072)) / -0.34305432) / -0.14145261) + ((x0 + -30.671062) + x0)) - x0"
