Complexity,Loss,Equation
1,665.5079,"5.129578"
3,142.46019,"0.015779857 ^ x0"
5,61.52518,"(0.012790032 ^ x0) + -10.391493"
7,58.51638,"((0.01250602 ^ x0) + -10.721724) + x0"
9,19.444998,"-21.653683 - ((x0 * -53.550705) * (x0 - 0.44255686))"
11,17.957813,"(0.89097637 - x0) * (-24.325012 - (x0 * (52.710487 - x0)))"
13,0.39685863,"((0.9243822 - x0) * (1.7989095 - x0)) * (-13.111906 - (x0 * 24.597322))"
15,0.39605227,"(((0.9243822 - x0) * (1.7989095 - x0)) * (-13.111906 - (x0 * 24.597322))) - 0.028807651"
19,0.3960522,"((((0.9243822 - x0) * (1.7989095 - x0)) * (-13.111906 - (x0 * 24.597322))) - (0.028807651 - x0)) - x0"
27,0.39559823,"((((((0.9946927 - x0) * (-13.565139 - (x0 * 24.829905))) * (1.7339821 - x0)) - ((x0 * -0.49188834) - (x0 * 1.1210603))) + 1.4474862) - x0) * 0.99359417"
29,0.3955982,"(((((((0.9946927 - x0) * (-13.565139 - (x0 * 24.829905))) * (1.7339821 - x0)) - ((x0 * -0.49188834) - (x0 * 1.1210603))) + 0.68897915) - x0) + 0.7585071) * 0.99359417"
