Complexity,Loss,Equation
1,2194.1597,"29.61362"
3,988.53595,"x0 * 64.64814"
5,92.07686,"(x0 - -0.46167392) * 64.86059"
7,87.23874,"(65.65396 - x0) * (x0 - -0.46261153)"
9,23.737219,"((x0 * 49.007145) - -39.569935) - (0.022494929 ^ x0)"
11,23.622412,"((x0 * 48.591976) - -39.46421) - ((0.026906468 ^ x0) / 0.8373631)"
13,23.597012,"((x0 * 48.591976) - -39.46421) - (((0.026906468 ^ x0) / 0.8373631) + -0.17030802)"
15,20.971167,"((x0 * 45.363186) + ((x0 * x0) * ((x0 * 26.026375) + -20.225372))) - -40.04897"
21,20.961164,"((((x0 * x0) * ((((x0 * x0) + 24.172438) * x0) + -19.90496)) - -21.90629) - (x0 * -46.198093)) - -17.951464"
25,20.955208,"(((x0 * (x0 * ((x0 * (((x0 * (x0 * x0)) * x0) + 24.172438)) + -19.90496))) - -21.90629) - (x0 * -46.198093)) - -17.886848"
27,20.944345,"(((x0 * (x0 * ((x0 * ((x0 * ((x0 * (x0 / 0.77733284)) * x0)) + 24.172438)) + -19.90496))) - -21.90629) - (x0 * -46.198093)) - -17.886848"
29,20.941265,"(((x0 * ((0.0016171868 + x0) * ((x0 * ((x0 * ((x0 * (1.1771016 * x0)) * x0)) + 24.172438)) + -19.90496))) - -21.90629) - (x0 * -46.198093)) - -17.886848"
