Complexity,Loss,Equation
1,2958.982,"x0"
3,1182.8903,"x0 * 60.77821"
5,922.64374,"(0.006739094 ^ x0) * -0.86027604"
7,131.22284,"((0.052968405 ^ x0) * -8.673513) + 38.76328"
9,30.909245,"(1.0755383 - x0) * ((x0 * 96.00426) - -43.13317)"
11,29.221304,"(((0.6278172 - x0) * x0) - -0.48778406) * (95.18903 - x0)"
13,6.2999396,"(((x0 * ((x0 * 27.822554) - 96.00426)) + 39.51444) * x0) + 46.468536"
17,6.299593,"(x0 * ((((x0 / -2231.8538) + x0) * ((x0 * 27.822554) - 96.00426)) + 39.531925)) + 46.448124"
19,6.2920113,"(x0 * ((((x0 * 27.734388) - 96.00426) * x0) + 39.531925)) + ((0.5454448 / (x0 * 142.45238)) + 46.448124)"
21,6.2835784,"(-1.2261716 / ((x0 * 96.00426) + 46.448124)) + ((x0 * ((((x0 * 27.734388) - 96.00426) * x0) + 39.531925)) + 46.448124)"
23,6.2805037,"((x0 + x0) / ((x0 * 96.00426) + 46.448124)) + ((x0 * ((((x0 * 27.734388) - 96.00426) * x0) + 39.531925)) + 46.448124)"
25,6.253034,"(((x0 * ((x0 * 27.734388) - 96.00426)) + 39.531925) * x0) + ((-0.09212095 / (((x0 * x0) * 27.734388) - (-0.08019532 / x0))) + 46.448124)"
