Complexity,Loss,Equation
1,924.31085,"-108.78174"
5,595.9994,"-95.95145 - (0.016133169 ^ x0)"
7,121.77736,"-68.76372 - (x0 * (x0 * 80.34561))"
9,118.217514,"-68.76372 - ((x0 * x0) * (80.34561 - x0))"
11,102.21414,"(x0 * (((18.72374 ^ x0) - 89.48805) * x0)) + -67.55702"
13,10.298612,"-68.73638 - (((x0 * ((x0 * -60.07995) - -80.323616)) - -44.89264) * x0)"
15,10.297848,"-68.72039 - (((x0 * x0) * ((x0 * -59.274918) - -80.35702)) - (x0 * -44.1627))"
17,10.295219,"-68.73638 - ((((x0 * ((x0 * -60.07995) - -80.323616)) - -44.89264) * x0) + (x0 * -0.14743228))"
19,10.284858,"-68.82047 - ((((((x0 + (14.038023 / (x0 * -18.791082))) * 57.764805) - 77.73276) * x0) * -1.0305144) * x0)"
23,10.281536,"-68.82047 - ((((((x0 + (14.038023 / (x0 * -18.791082))) * 57.764805) - 77.79878) - (x0 * -0.0830603)) * (x0 * -1.0305144)) * x0)"
25,10.280574,"-68.82047 - (((((x0 + (14.038023 / (x0 * -18.791082))) * 57.764805) - (77.79878 - ((-0.8463145 - x0) * -0.0830603))) * x0) * (-1.0305144 * x0))"
