Complexity,Loss,Equation
1,5390.0083,"45.64444"
3,2516.025,"x0 * 99.76295"
5,386.0283,"(x0 * 100.0934) - -46.22481"
7,377.0315,"(x0 + 0.46760482) * (100.44076 - x0)"
9,89.0208,"(((0.012532798 ^ x0) + 74.948845) * x0) - -59.903297"
11,86.565285,"(x0 * (((0.023424543 ^ x0) / 0.49146497) + 72.00028)) - -61.95132"
13,48.206127,"(1.4258356 - ((1.1751726 - x0) * x0)) * ((x0 * 70.19301) - -45.40094)"
15,47.684315,"((1.392594 - ((1.1708953 - x0) * x0)) * ((x0 * 72.70413) - -47.449684)) + -1.1923256"
17,47.606163,"((x0 * (0.6052391 - (((1.5075651 - x0) * x0) - x0))) * 73.2839) + (x0 - -64.72375)"
19,47.606155,"(((x0 * (0.6052391 - (((1.5075651 - x0) * x0) - x0))) * 73.2839) - -64.31054) + (0.41320518 + x0)"
21,47.599907,"((x0 * 73.2839) * (0.6052391 - (((1.5075651 - x0) * x0) - x0))) - (-64.31054 - ((x0 * 0.9105163) + 0.41320518))"
27,47.541958,"((0.82950217 - (x0 * (((-1.6264253 - x0) * x0) - x0))) * 78.60917) - ((((x0 * -234.93202) * (0.21133427 - x0)) + x0) + (18.24449 ^ x0))"
29,47.435825,"((0.82950217 - ((((-1.6264253 - x0) * x0) - x0) * x0)) * 78.60917) - ((((x0 * -234.93202) * (0.21133427 - x0)) + (x0 + (18.24449 ^ x0))) - -0.33011225)"
