Complexity,Loss,Equation
1,2909.5645,"-22.794355"
3,785.78204,"x0 * 72.83164"
4,704.66425,"tan(x0) * 53.33431"
5,281.88406,"(x0 + -0.307544) * 72.751015"
6,21.01046,"tan(x0 + -0.2435637) * 44.50912"
8,16.745602,"(tan(x0 + -0.2723261) * 42.332863) + 3.582683"
10,2.3196316,"x0 * (152.68759 + (sin(x0 + -8.234861) * 132.78136))"
12,0.5120116,"(x0 * ((sin(x0 + -8.212368) * 130.55681) + 152.1579)) - 2.3653224"
14,0.5034832,"(((sin(x0 + -8.209342) * x0) * 131.21986) - 2.3924766) + (x0 * 152.55307)"
16,0.4978381,"((x0 * 151.55931) + ((-3.06038 - (x0 * -130.54437)) * sin(x0 + -8.198531))) - 5.200375"
17,0.48254016,"(sin(x0 + -8.206532) * (tan(x0) - (x0 * -131.08273))) + ((x0 * 153.44131) - 2.3602176)"
18,0.44539,"(x0 * 152.64688) + (((tan(cos(x0)) - (x0 * -131.43459)) * sin(x0 + -8.220646)) - 0.947019)"
19,0.10142425,"(x0 * 152.4476) + ((-2.1877184 - (x0 * (sin(x0 + -8.131462) * -127.71252))) - cosh(x0 * 3.0015712))"
22,0.0880068,"((((-0.018202499 - x0) * sin(x0 + -8.140538)) * -127.01283) - cosh(x0 * 3.0252619)) + ((151.09186 * x0) + asin(x0))"
24,0.08731557,"((x0 * 151.42995) + (asin(x0) + (((-0.031972926 - x0) * sin(x0 + -8.146429)) * -127.00767))) - (cosh(x0 * 3.0533674) - 1.698413)"
26,0.08637415,"((((x0 * 151.85368) + (((-0.014161319 - x0) * -126.760826) * sin(x0 + -8.139241))) - cosh(x0 * 3.0268996)) - (x0 - -0.48888013)) + asin(x0)"
