Complexity,Loss,Equation
1,239.44127,"22.384508"
3,232.71764,"x0 + 22.384508"
4,219.68188,"cosh(x0) * 17.786879"
5,143.16882,"(33.85506 ^ x0) + 14.540915"
6,122.28153,"cosh(4.4092216 ^ x0) + 15.02591"
7,58.634315,"exp(sin(x0 * -4.3314953)) * 17.385185"
8,56.25997,"exp(sin(sin(x0 * -4.284645))) * 18.886591"
9,34.064392,"exp(sin((x0 - -0.8519289) * 4.1495767)) * 16.344688"
11,28.765686,"exp(sin((x0 - -3.9592545) * 4.0653353)) * (x0 + 16.217335)"
12,26.710814,"(tan(x0) + 16.215958) * exp(sin((x0 - -3.9841447) * 4.0373073))"
13,15.050983,"(asinh(x0 * sin((x0 - -0.8772636) * -1.9513065)) * 65.306175) + 17.118002"
14,10.856298,"((sin((x0 - -0.9342213) * -1.8861687) - -0.070385344) * (x0 * 61.482975)) + 15.667546"
15,8.852312,"((x0 * 65.19608) * (exp(sin((x0 - -0.87553054) * -1.95405)) - 1.0302197)) + 17.13809"
16,8.623662,"(asinh(x0 * (exp(sin((x0 - -0.8772636) * -1.9513065)) - 1.0275387)) * 65.306175) + 17.118002"
20,8.435477,"exp((x0 + 4.3589015) - sin((x0 + x0) - (exp((x0 - 1.535413) + x0) + 6.151936))) - 70.78651"
22,8.399267,"exp((x0 + 4.3829722) - sin(1.3451413 - ((x0 + x0) - (exp((x0 + x0) - 1.536896) + 1.665271)))) - 72.9701"
24,8.337326,"(exp((x0 - sin(1.4942718 - (x0 + (x0 - (exp(x0 + (x0 - 1.5253794)) + 1.5253794))))) + 4.346542) - 70.62858) - x0"
26,8.329921,"(exp(x0 + (4.346542 - sin(1.4942718 - ((x0 + x0) - (exp(((x0 - 1.5253794) + x0) * 1.0047839) + 1.5253794))))) - 70.67624) - x0"
27,8.329919,"abs((exp((x0 + 4.346542) - sin(1.4942718 - (x0 + (x0 - (exp((x0 + (x0 - 1.5253794)) * 1.0047839) + 1.5253794))))) - 70.67624) - x0)"
28,8.327275,"((exp(x0 + (4.346542 - sin(1.4942718 - ((x0 + x0) - (exp(((x0 - 1.5253794) + x0) * 1.0047839) + 1.5253794))))) - 70.67624) - x0) - -0.061544225"
29,8.071128,"(exp((x0 + 4.4650702) - sin(1.4541031 - ((x0 + x0) - (exp(x0 + (x0 - asinh(x0 + 0.92599314))) + 1.3962921)))) - 85.95124) - (x0 * 5.6377525)"
