Complexity,Loss,Equation
1,219.22903,"82.11108"
3,204.54153,"x0 + 82.10245"
4,197.75406,"tan(x0) + 82.13324"
5,51.250576,"(40.90523 ^ x0) + 73.328156"
7,50.89651,"(62.69306 ^ (x0 + -0.101471424)) + 73.71027"
8,50.427254,"(tan(x0) + (38.496593 ^ x0)) + 73.80457"
9,49.35448,"(tan(sinh(x0)) + 74.155014) + (36.923126 ^ x0)"
10,44.504715,"(tan(sinh(sinh(x0))) + (32.287933 ^ x0)) + 74.77249"
12,34.328163,"(tan(x0) + (exp(sin(0.20797504 - x0)) + 3.480315)) ^ 2.7796297"
13,34.125668,"(tan(x0) + (exp(sin(0.24786603 - asinh(x0))) + 3.7254002)) ^ 2.6877418"
14,34.0381,"((x0 * abs(x0)) + (exp(-0.5526869 - sin(x0)) + 3.8376257)) ^ 2.912503"
16,33.828167,"(((x0 * abs(x0)) + (exp(-0.52691144 - sin(x0)) + 3.7884548)) ^ 2.9169843) + 1.2302092"
17,33.657192,"(((x0 * abs(x0)) + (exp(-0.50502795 - sin(x0)) + 3.770193)) ^ 2.9261663) + sign(x0)"
19,33.3425,"(((asin(x0 * abs(sin(x0))) + exp(-0.50502795 - sin(x0))) + 3.770193) ^ 2.9261663) + sign(x0)"
20,33.31924,"((asin(x0 * abs(sin(x0))) + (3.81545 + exp(-0.51057124 - sin(x0)))) ^ 2.9133825) + tan(sign(x0))"
21,33.25031,"(((exp(-0.51057124 - sin(x0)) + (asin(x0 * sin(abs(x0))) + 3.81545)) ^ 2.9133825) + sign(x0)) + -0.30057353"
23,33.2502,"((sign(x0) + ((asin(x0 * abs(sin(x0))) + (exp(-0.51057124 - sin(x0)) + 3.81545)) ^ 2.9133825)) + -0.39114854) - -0.08883288"
24,33.219738,"(((exp(-0.51057124 - sin(x0)) + asin(x0 * sin(abs(x0)))) + 3.81545) ^ 2.9133825) + (sign(x0) + tanh(x0 - 0.7994178))"
26,33.178864,"((((exp(-0.51057124 - sin(x0)) + (asin(x0 * sin(abs(x0))) + 3.81545)) ^ 2.9133825) + sign(x0)) + sin(-0.51057124 - x0)) + x0"
27,33.165462,"(((((exp(-0.51057124 - sin(x0)) + asin(x0 * sin(abs(x0)))) + 3.81545) ^ 2.9133825) + sign(x0)) + sin(sin(-0.51057124 - x0))) + x0"
