Complexity,Loss,Equation
1,1361.9108,"-35.007526"
3,1359.3121,"x0 - 34.957672"
4,498.1964,"abs(x0) * -64.68626"
5,294.6656,"x0 * (x0 * -78.412766)"
6,254.44002,"(267.68295 / cosh(x0)) - 251.59088"
7,245.82957,"((x0 * x0) - 0.12330428) * -93.593216"
8,235.19879,"(279.26294 / cosh(x0 + -0.049722575)) - 261.10037"
9,177.54361,"(508.1491 / sin(cosh(0.11711328 - x0))) - 580.8343"
10,41.605686,"x0 * (71.73307 - cosh(3.6544104 - (x0 / -0.45064202)))"
11,35.449608,"sin(x0) * (80.463326 - cosh((x0 / -0.43161187) - 3.6977444))"
12,24.426294,"(x0 * (82.57075 - cosh(4.105882 - (x0 / -0.53443545)))) - -7.4553065"
13,11.906476,"((99.90723 - cosh(4.3664513 - (x0 / -0.5616528))) * sin(x0)) - -9.083406"
15,11.87358,"(((99.90723 - cosh(4.3664513 - (x0 / -0.5616528))) * sin(x0)) - -9.083406) - -0.07312979"
16,8.809927,"133.42326 - cosh(atan((x0 * x0) - asinh(x0)) + ((x0 / 1.7458798) - -5.468304))"
17,7.1832533,"141.21367 - cosh((x0 / 3.3719034) + ((atan(x0 - cos(x0)) * tanh(x0)) - -5.5682116))"
18,6.040256,"169.32068 - cosh((x0 / 2.8846514) + ((atan(atan(x0) - cos(x0)) * atan(x0)) - -5.7603745))"
20,5.4498205,"141.78426 - cosh(((x0 / 3.8693256) - -5.561423) + (atan(x0 - cos(-0.13110885 - x0)) * asinh(tanh(x0))))"
21,5.4353724,"(137.96446 - cosh((asinh(tanh(x0)) * (x0 - cos(0.19471595 - x0))) + ((x0 / 2.1601923) - -5.4785247))) + -4.8329425"
22,5.4157686,"(141.55656 - cosh(((x0 / 3.9424326) - -5.5573483) + (atan(x0 - cos(-0.14095189 - x0)) * asinh(tanh(x0))))) + -0.43709773"
23,5.385925,"(141.55656 - cosh(((x0 / 3.9424326) - -5.5573483) + (atan(x0 - cos(x0 - -0.14095189)) * asinh(tanh(x0))))) + atanh(-0.26200494)"
24,5.179653,"137.23347 - (cosh((x0 / 5.457358) + ((atan(x0 - cos(x0)) * asinh(tanh(x0))) - -5.6753583)) - ((x0 * -21.537941) + 20.615631))"
26,5.1508374,"135.75653 - ((sinh(((x0 / 5.9105844) + asinh(atan(x0 - cos(x0)) * tanh(x0))) - -5.6561565) - ((x0 * -22.048536) + 19.13876)) + x0)"
27,5.1092515,"135.94424 - ((cosh(asinh(atan(x0 - cos(x0)) * tanh(x0)) + ((x0 / 5.951401) - -5.65547)) - ((x0 * -22.031458) + 19.073908)) + sinh(x0))"
28,5.06263,"137.18552 - ((cosh((x0 / 5.112068) + ((atan(x0 - cos(x0)) * asinh(tanh(x0))) - -5.6748147)) - (((x0 * -18.731256) + 20.567959) + x0)) + x0)"
